---------- AND Interactions ----------
I(5,6): -3.1158666610717773	 ([madsen][plays])
I(41,48): -0.17235541343688965	 ([everything][film])
I(4,37): 0.17124468088150024	 ([madsen.][god])
I(3,39): -0.17101258039474487	 ([michael][heart.])
I(20,36): 0.17086762189865112	 ([book,][word])
I(10,53): 0.17047107219696045	 ([family][certainly])
I(2,33): -0.17003321647644043	 ([debut][teaches])
I(19,28): 0.16986560821533203	 ([phone][preacher's])
I(40,50): -0.16978669166564941	 ([makes][looks])
I(6,19): -0.16966760158538818	 ([plays][phone])
I(8,54): 0.1695568561553955	 ([moe,][help.])
I(13,28): 0.16950607299804688	 ([life][preacher's])
I(41,54): 0.16927766799926758	 ([everything][help.])
I(34,47): 0.16891729831695557	 ([cecil][fact])
I(24,37): 0.16890889406204224	 ([calls][god])
I(32,55): 0.1686229705810547	 ([preacher][1])
I(41,52): 0.16812634468078613	 ([everything][500])
I(49,56): -0.16756069660186768	 (["][10 "])
I(4,44): 0.16748106479644775	 ([madsen.][everything])
I(30,31): -0.16660422086715698	 ([discusses][problems.])
I(9,45): -0.16643857955932617	 ([alcoholic][life])
I(50,53): -0.16614842414855957	 ([looks][certainly])
I(3,31): -0.16607904434204102	 ([michael][problems.])
I(27,31): -0.16572558879852295	 ([goes][problems.])
I(33,50): 0.16557157039642334	 ([teaches][looks])
I(26,56): 0.16546988487243652	 ([night.][10 "])
I(2,12): -0.1650017499923706	 ([debut][whose])
I(35,51): -0.16460955142974854	 ([respect][made])
I(21,28): 0.1645110845565796	 ([looks][preacher's])
I(43,54): 0.1642441749572754	 ([ahh... if][help.])
I(26,31): 0.16409814357757568	 ([night.][problems.])
I(28): 0.16368317604064941	 ([preacher's])
I(26,52): 0.16365933418273926	 ([night.][500])
I(18,52): -0.1635277271270752	 ([grabs][500])
I(14,43): 0.16350269317626953	 ([crumbling][ahh... if])
I(23,40): -0.163163423538208	 ([preacher,][makes])
I(42,46): 0.16307294368743896	 ([better.][easy.])
I(13,33): 0.162797212600708	 ([life][teaches])
I(34,56): 0.1625291109085083	 ([cecil][10 "])
I(45,55): 0.16219878196716309	 ([life][1])
I(0,48): -0.16216230392456055	 ([definitely][film])
I(7,13): -0.1619817018508911	 ([cecil][life])
I(5): -0.16197216510772705	 ([madsen])
I(9,19): 0.1612786054611206	 ([alcoholic][phone])
I(25,39): -0.1611398458480835	 ([middle][heart.])
I(16,45): 0.160569429397583	 ([him.][life])
I(0,30): -0.16017121076583862	 ([definitely][discusses])
I(47): -0.1601262092590332	 ([fact])
I(9,39): 0.15965336561203003	 ([alcoholic][heart.])
I(22,25): -0.1592479944229126	 ([name][middle])
I(40,53): 0.15922188758850098	 ([makes][certainly])
I(5,23): 0.15912199020385742	 ([madsen][preacher,])
I(13,55): 0.15905249118804932	 ([life][1])
I(34,39): -0.1586260199546814	 ([cecil][heart.])
I(1): -0.15818238258361816	 ([odd])
I(28,46): 0.15797436237335205	 ([preacher's][easy.])
I(7,33): -0.1578744649887085	 ([cecil][teaches])
I(5,32): 0.15769386291503906	 ([madsen][preacher])
I(18,48): 0.15755295753479004	 ([grabs][film])
I(32,51): -0.15741217136383057	 ([preacher][made])
I(20,29): 0.15691465139389038	 ([book,][home])
I(10,18): -0.15688228607177734	 ([family][grabs])
I(25,50): -0.15680956840515137	 ([middle][looks])
I(2,46): 0.1566087007522583	 ([debut][easy.])
I(38,49): -0.15590131282806396	 ([jesus]["])
I(5,22): -0.15535485744476318	 ([madsen][name])
I(31,56): -0.15516316890716553	 ([problems.][10 "])
I(35,55): 0.1551518440246582	 ([respect][1])
I(1,10): -0.15513068437576294	 ([odd][family])
I(5,9): 0.15507805347442627	 ([madsen][alcoholic])
I(22,37): 0.15492373704910278	 ([name][god])
I(14,39): 0.15456771850585938	 ([crumbling][heart.])
I(4,43): 0.15421271324157715	 ([madsen.][ahh... if])
I(52,55): -0.15304780006408691	 ([500][1])
I(42,55): -0.15297579765319824	 ([better.][1])
I(28,45): 0.1522057056427002	 ([preacher's][life])
I(43,55): -0.1520841121673584	 ([ahh... if][1])
I(38,43): 0.15202879905700684	 ([jesus][ahh... if])
I(4,30): -0.1518358588218689	 ([madsen.][discusses])
I(2,27): -0.15147757530212402	 ([debut][goes])
I(11,45): 0.15141630172729492	 ([man][life])
I(0,21): 0.15137362480163574	 ([definitely][looks])
I(15,41): -0.15137243270874023	 ([around][everything])
I(36,48): 0.15133452415466309	 ([word][film])
I(41,46): 0.150826096534729	 ([everything][easy.])
I(0,26): -0.15075838565826416	 ([definitely][night.])
I(14,23): 0.15032613277435303	 ([crumbling][preacher,])
I(3,20): -0.15018689632415771	 ([michael][book,])
I(25,47): -0.15017151832580566	 ([middle][fact])
I(2,42): 0.15007328987121582	 ([debut][better.])
I(3,26): -0.1495891809463501	 ([michael][night.])
I(22,54): 0.14957880973815918	 ([name][help.])
I(10,43): 0.1493443250656128	 ([family][ahh... if])
I(55): 0.1490321159362793	 ([1])
I(15,40): -0.14866364002227783	 ([around][makes])
I(0,39): -0.14838272333145142	 ([definitely][heart.])
I(46,51): -0.14781081676483154	 ([easy.][made])
I(7,39): -0.14773762226104736	 ([cecil][heart.])
I(0,43): 0.1477205753326416	 ([definitely][ahh... if])
I(32,42): -0.14769268035888672	 ([preacher][better.])
I(19,21): 0.14755988121032715	 ([phone][looks])
I(44,50): 0.14667844772338867	 ([everything][looks])
I(20,41): -0.1464848518371582	 ([book,][everything])
I(22,24): 0.1464226245880127	 ([name][calls])
I(35,38): 0.146185040473938	 ([respect][jesus])
I(14,38): 0.14605116844177246	 ([crumbling][jesus])
I(19,39): 0.14574724435806274	 ([phone][heart.])
I(19,41): 0.14457476139068604	 ([phone][everything])
I(8,42): 0.1445467472076416	 ([moe,][better.])
I(19,23): 0.14413154125213623	 ([phone][preacher,])
I(30,36): 0.1437971591949463	 ([discusses][word])
I(15,23): -0.14322233200073242	 ([around][preacher,])
I(18,23): 0.14299118518829346	 ([grabs][preacher,])
I(24,46): 0.1425565481185913	 ([calls][easy.])
I(24,56): -0.1419541835784912	 ([calls][10 "])
I(5,51): -0.14166510105133057	 ([madsen][made])
I(12,19): 0.14125335216522217	 ([whose][phone])
I(10,20): -0.14120137691497803	 ([family][book,])
I(48,51): 0.14073920249938965	 ([film][made])
I(20,26): 0.1405491828918457	 ([book,][night.])
I(0,7): 0.14052987098693848	 ([definitely][cecil])
I(5,13): 0.14050328731536865	 ([madsen][life])
I(28,32): 0.1403723955154419	 ([preacher's][preacher])
I(13,42): 0.14015161991119385	 ([life][better.])
I(4,31): -0.14000463485717773	 ([madsen.][problems.])
I(7,29): -0.13985157012939453	 ([cecil][home])
I(3,18): 0.13934659957885742	 ([michael][grabs])
I(22,28): 0.13894569873809814	 ([name][preacher's])
I(27,54): -0.13890361785888672	 ([goes][help.])
I(0,49): -0.13857650756835938	 ([definitely]["])
I(1,32): 0.13853991031646729	 ([odd][preacher])
I(7,41): -0.13838481903076172	 ([cecil][everything])
I(10,14): 0.13827431201934814	 ([family][crumbling])
I(20,53): 0.13822007179260254	 ([book,][certainly])
I(11,15): -0.1380702257156372	 ([man][around])
I(18,28): 0.13802528381347656	 ([grabs][preacher's])
I(2,56): 0.1373227834701538	 ([debut][10 "])
I(3,56): 0.13704323768615723	 ([michael][10 "])
I(21,53): 0.13704180717468262	 ([looks][certainly])
I(25,27): -0.13672399520874023	 ([middle][goes])
I(4,10): 0.13656306266784668	 ([madsen.][family])
I(37,56): 0.13653188943862915	 ([god][10 "])
I(9,11): 0.13632869720458984	 ([alcoholic][man])
I(26,46): 0.1361597776412964	 ([night.][easy.])
I(7,14): -0.13611769676208496	 ([cecil][crumbling])
I(6,24): 0.13605105876922607	 ([plays][calls])
I(9,54): 0.13554620742797852	 ([alcoholic][help.])
I(36,49): -0.13537150621414185	 ([word]["])
I(8,19): 0.13479161262512207	 ([moe,][phone])
I(25,32): 0.13453972339630127	 ([middle][preacher])
I(41,55): 0.13437122106552124	 ([everything][1])
I(2,29): -0.13431906700134277	 ([debut][home])
I(38,41): -0.13420486450195312	 ([jesus][everything])
I(13,36): 0.1341339349746704	 ([life][word])
I(23,35): 0.13366806507110596	 ([preacher,][respect])
I(13,44): 0.133461594581604	 ([life][everything])
I(19,53): 0.13318562507629395	 ([phone][certainly])
I(9,52): -0.13315200805664062	 ([alcoholic][500])
I(0,55): -0.13237857818603516	 ([definitely][1])
I(21,30): 0.13188380002975464	 ([looks][discusses])
I(24,49): -0.13150572776794434	 ([calls]["])
I(8,47): 0.1313328742980957	 ([moe,][fact])
I(6,18): -0.13129198551177979	 ([plays][grabs])
I(2,35): 0.13068735599517822	 ([debut][respect])
I(6,50): -0.13066589832305908	 ([plays][looks])
I(16,17): 0.13052022457122803	 ([him.][cecil])
I(9,15): 0.13050854206085205	 ([alcoholic][around])
I(53,56): -0.13046801090240479	 ([certainly][10 "])
I(34,55): 0.13037681579589844	 ([cecil][1])
I(8,13): 0.12989580631256104	 ([moe,][life])
I(29,55): 0.12965530157089233	 ([home][1])
I(23,31): -0.12953710556030273	 ([preacher,][problems.])
I(32,35): 0.12940490245819092	 ([preacher][respect])
I(46,53): 0.12932884693145752	 ([easy.][certainly])
I(6,44): 0.12898802757263184	 ([plays][everything])
I(34,42): 0.12873709201812744	 ([cecil][better.])
I(38,46): 0.12855970859527588	 ([jesus][easy.])
I(26,30): 0.12827950716018677	 ([night.][discusses])
I(27,34): 0.12795865535736084	 ([goes][cecil])
I(7,51): 0.127791166305542	 ([cecil][made])
I(27): -0.1277327537536621	 ([goes])
I(22,46): -0.12738347053527832	 ([name][easy.])
I(18,29): 0.12707281112670898	 ([grabs][home])
I(13,35): 0.12662601470947266	 ([life][respect])
I(0,37): 0.12662214040756226	 ([definitely][god])
I(21,38): 0.12656819820404053	 ([looks][jesus])
I(14,22): -0.12576007843017578	 ([crumbling][name])
I(20,47): 0.12536108493804932	 ([book,][fact])
I(2,47): 0.1253376007080078	 ([debut][fact])
I(9,18): -0.1252431869506836	 ([alcoholic][grabs])
I(18,50): 0.12496781349182129	 ([grabs][looks])
I(43,50): -0.12462997436523438	 ([ahh... if][looks])
I(52,56): -0.1245499849319458	 ([500][10 "])
I(29,42): 0.12446701526641846	 ([home][better.])
I(5,30): -0.124142587184906	 ([madsen][discusses])
I(28,52): 0.12380743026733398	 ([preacher's][500])
I(14,36): 0.12371772527694702	 ([crumbling][word])
I(8,30): -0.12329280376434326	 ([moe,][discusses])
I(49,50): -0.12285852432250977	 (["][looks])
I(0,52): -0.12274909019470215	 ([definitely][500])
I(24,43): -0.1220008134841919	 ([calls][ahh... if])
I(8,34): 0.12200057506561279	 ([moe,][cecil])
I(21,44): 0.12126672267913818	 ([looks][everything])
I(32,56): 0.1212090253829956	 ([preacher][10 "])
I(44,51): -0.12113332748413086	 ([everything][made])
I(25,31): 0.12096560001373291	 ([middle][problems.])
I(25,53): -0.12004876136779785	 ([middle][certainly])
I(6,21): -0.11972296237945557	 ([plays][looks])
I(27,39): 0.11919182538986206	 ([goes][heart.])
I(23,41): -0.11862790584564209	 ([preacher,][everything])
I(47,56): 0.11834144592285156	 ([fact][10 "])
I(2,18): 0.11826825141906738	 ([debut][grabs])
I(3,30): -0.1181674599647522	 ([michael][discusses])
I(2,43): 0.11800718307495117	 ([debut][ahh... if])
I(11,31): -0.11784422397613525	 ([man][problems.])
I(21,45): 0.11783719062805176	 ([looks][life])
I(10,40): 0.11710870265960693	 ([family][makes])
I(16,54): -0.11704087257385254	 ([him.][help.])
I(19,46): 0.11697220802307129	 ([phone][easy.])
I(12,39): 0.11693239212036133	 ([whose][heart.])
I(2,51): 0.11686921119689941	 ([debut][made])
I(0,40): -0.1164255142211914	 ([definitely][makes])
I(37,43): 0.11618000268936157	 ([god][ahh... if])
I(42,51): 0.11564016342163086	 ([better.][made])
I(14,56): -0.11552894115447998	 ([crumbling][10 "])
I(31,46): 0.11541962623596191	 ([problems.][easy.])
I(38,54): 0.11508822441101074	 ([jesus][help.])
I(2,11): -0.1149669885635376	 ([debut][man])
I(32,49): -0.11492669582366943	 ([preacher]["])
I(13,23): 0.11474239826202393	 ([life][preacher,])
I(7,9): -0.1147303581237793	 ([cecil][alcoholic])
I(12): -0.11467468738555908	 ([whose])
I(11,48): -0.11465442180633545	 ([man][film])
I(17,23): 0.11446642875671387	 ([cecil][preacher,])
I(12,14): -0.11415326595306396	 ([whose][crumbling])
I(41,56): 0.1139187216758728	 ([everything][10 "])
I(20,31): -0.11380875110626221	 ([book,][problems.])
I(15,42): 0.11375057697296143	 ([around][better.])
I(30,42): -0.11317068338394165	 ([discusses][better.])
I(0,19): -0.11263704299926758	 ([definitely][phone])
I(26,53): 0.11235904693603516	 ([night.][certainly])
I(8,27): -0.11228346824645996	 ([moe,][goes])
I(0,38): 0.11200165748596191	 ([definitely][jesus])
I(27,35): 0.1116178035736084	 ([goes][respect])
I(8,29): 0.11118799448013306	 ([moe,][home])
I(4,54): -0.1110532283782959	 ([madsen.][help.])
I(1,26): 0.11063313484191895	 ([odd][night.])
I(3,43): 0.11060547828674316	 ([michael][ahh... if])
I(28,41): -0.11053144931793213	 ([preacher's][everything])
I(1,28): 0.11031603813171387	 ([odd][preacher's])
I(21,52): -0.10994386672973633	 ([looks][500])
I(14,49): -0.10965752601623535	 ([crumbling]["])
I(40,55): -0.10961902141571045	 ([makes][1])
I(12,46): 0.10950696468353271	 ([whose][easy.])
I(21,48): -0.10941696166992188	 ([looks][film])
I(15,29): -0.10928583145141602	 ([around][home])
I(5,33): -0.10888171195983887	 ([madsen][teaches])
I(31,49): 0.10886919498443604	 ([problems.]["])
I(8,46): 0.10886514186859131	 ([moe,][easy.])
I(55,56): -0.10847628116607666	 ([1][10 "])
I(12,43): 0.10823118686676025	 ([whose][ahh... if])
I(5,17): -0.10810661315917969	 ([madsen][cecil])
I(43,52): -0.1079869270324707	 ([ahh... if][500])
I(10,55): 0.1078265905380249	 ([family][1])
I(23,52): 0.10770237445831299	 ([preacher,][500])
I(5,50): -0.10714280605316162	 ([madsen][looks])
I(10,39): 0.10704249143600464	 ([family][heart.])
I(8,50): 0.10696005821228027	 ([moe,][looks])
I(11,19): 0.10686850547790527	 ([man][phone])
I(11,47): 0.10637199878692627	 ([man][fact])
I(29,32): 0.10634732246398926	 ([home][preacher])
I(33,44): 0.10600244998931885	 ([teaches][everything])
I(26,39): 0.1055290699005127	 ([night.][heart.])
I(34,43): 0.10546875	 ([cecil][ahh... if])
I(2,53): -0.1054067611694336	 ([debut][certainly])
I(19,51): 0.10537338256835938	 ([phone][made])
I(43,49): -0.10508489608764648	 ([ahh... if]["])
I(3,13): 0.10504913330078125	 ([michael][life])
I(1,20): -0.10498690605163574	 ([odd][book,])
I(3,11): 0.1049567461013794	 ([michael][man])
I(2,31): -0.1048281192779541	 ([debut][problems.])
I(6,10): 0.10471558570861816	 ([plays][family])
I(35,52): 0.1044764518737793	 ([respect][500])
I(18,56): -0.10446417331695557	 ([grabs][10 "])
I(50,55): -0.10439634323120117	 ([looks][1])
I(16,35): -0.10420858860015869	 ([him.][respect])
I(21,29): 0.10393774509429932	 ([looks][home])
I(25,40): -0.10392320156097412	 ([middle][makes])
I(27,44): 0.10383361577987671	 ([goes][everything])
I(27,36): 0.10375213623046875	 ([goes][word])
I(16,38): -0.10350966453552246	 ([him.][jesus])
I(27,53): -0.10329079627990723	 ([goes][certainly])
I(9,24): -0.10323858261108398	 ([alcoholic][calls])
I(27,37): 0.10323190689086914	 ([goes][god])
I(10,12): 0.10315442085266113	 ([family][whose])
I(10,46): 0.10314011573791504	 ([family][easy.])
I(19,52): 0.10273945331573486	 ([phone][500])
I(26,36): 0.10251951217651367	 ([night.][word])
I(1,47): 0.10249590873718262	 ([odd][fact])
I(23,55): 0.10212242603302002	 ([preacher,][1])
I(1,12): 0.10169601440429688	 ([odd][whose])
I(5,38): 0.10153782367706299	 ([madsen][jesus])
I(23,28): -0.10138094425201416	 ([preacher,][preacher's])
I(1,53): -0.10127091407775879	 ([odd][certainly])
I(4,55): 0.10107159614562988	 ([madsen.][1])
I(38,53): 0.10079598426818848	 ([jesus][certainly])
I(23,48): -0.10049128532409668	 ([preacher,][film])
I(6,49): -0.10037600994110107	 ([plays]["])
I(19,40): 0.10035371780395508	 ([phone][makes])
I(3,15): -0.10031461715698242	 ([michael][around])
I(23,51): -0.10023677349090576	 ([preacher,][made])
I(45,52): -0.10016584396362305	 ([life][500])
I(8): -0.09962058067321777	 ([moe,])
I(0,5): 0.09949052333831787	 ([definitely][madsen])
I(7,27): -0.09907996654510498	 ([cecil][goes])
I(8,15): -0.09894394874572754	 ([moe,][around])
I(18,54): -0.09878754615783691	 ([grabs][help.])
I(37,52): 0.09861665964126587	 ([god][500])
I(6,35): 0.09848737716674805	 ([plays][respect])
I(23,34): 0.09834492206573486	 ([preacher,][cecil])
I(8,28): 0.09827005863189697	 ([moe,][preacher's])
I(0,45): 0.09808611869812012	 ([definitely][life])
I(34,46): -0.09776163101196289	 ([cecil][easy.])
I(46,47): 0.0975489616394043	 ([easy.][fact])
I(2,34): -0.09754037857055664	 ([debut][cecil])
I(5,8): -0.09744822978973389	 ([madsen][moe,])
I(7,28): -0.09739315509796143	 ([cecil][preacher's])
I(35,41): -0.09737443923950195	 ([respect][everything])
I(2,37): 0.09734636545181274	 ([debut][god])
I(3,48): 0.09717309474945068	 ([michael][film])
I(6,14): 0.09705221652984619	 ([plays][crumbling])
I(29,44): 0.09645867347717285	 ([home][everything])
I(28,44): -0.09528928995132446	 ([preacher's][everything])
I(9,50): 0.09481096267700195	 ([alcoholic][looks])
I(18,32): 0.09463322162628174	 ([grabs][preacher])
I(5,39): -0.09440964460372925	 ([madsen][heart.])
I(10,54): 0.09362590312957764	 ([family][help.])
I(3,34): -0.09357690811157227	 ([michael][cecil])
I(24,34): 0.09340739250183105	 ([calls][cecil])
I(7,36): -0.0933835506439209	 ([cecil][word])
I(18,40): 0.09311556816101074	 ([grabs][makes])
I(11,39): -0.09303045272827148	 ([man][heart.])
I(3,55): 0.09301567077636719	 ([michael][1])
I(49,51): -0.09295153617858887	 (["][made])
I(9,33): -0.09292769432067871	 ([alcoholic][teaches])
I(8,16): 0.09291601181030273	 ([moe,][him.])
I(15,28): -0.09291183948516846	 ([around][preacher's])
I(10,23): -0.09271818399429321	 ([family][preacher,])
I(16,51): -0.09262681007385254	 ([him.][made])
I(38,42): -0.09244763851165771	 ([jesus][better.])
I(6,33): -0.09239208698272705	 ([plays][teaches])
I(4,49): -0.09225285053253174	 ([madsen.]["])
I(31,43): -0.09215950965881348	 ([problems.][ahh... if])
I(27,41): 0.09206092357635498	 ([goes][everything])
I(0,12): 0.09176170825958252	 ([definitely][whose])
I(2,23): 0.09175622463226318	 ([debut][preacher,])
I(5,52): 0.09101450443267822	 ([madsen][500])
I(8,40): 0.09099030494689941	 ([moe,][makes])
I(1,45): 0.09098434448242188	 ([odd][life])
I(27,55): 0.09092056751251221	 ([goes][1])
I(5,20): -0.09053122997283936	 ([madsen][book,])
I(15,22): 0.09034883975982666	 ([around][name])
I(5,10): 0.09006017446517944	 ([madsen][family])
I(3,12): 0.08977603912353516	 ([michael][whose])
I(14,55): -0.08963704109191895	 ([crumbling][1])
I(11,54): -0.08920657634735107	 ([man][help.])
I(16,32): 0.08910804986953735	 ([him.][preacher])
I(1,11): 0.08908045291900635	 ([odd][man])
I(20,35): 0.08884191513061523	 ([book,][respect])
I(5,34): -0.08881199359893799	 ([madsen][cecil])
I(1,38): 0.08874726295471191	 ([odd][jesus])
I(30,46): 0.0887102484703064	 ([discusses][easy.])
I(25,33): 0.0885576605796814	 ([middle][teaches])
I(3,8): 0.08842164278030396	 ([michael][moe,])
I(28,31): -0.08836817741394043	 ([preacher's][problems.])
I(28,40): -0.08815646171569824	 ([preacher's][makes])
I(8,53): 0.08787393569946289	 ([moe,][certainly])
I(10,52): -0.08785057067871094	 ([family][500])
I(15,21): -0.08782398700714111	 ([around][looks])
I(1,36): 0.08766055107116699	 ([odd][word])
I(11,20): -0.08752131462097168	 ([man][book,])
I(16,18): -0.08725476264953613	 ([him.][grabs])
I(41,49): -0.08700966835021973	 ([everything]["])
I(0,35): 0.08695030212402344	 ([definitely][respect])
I(44,55): 0.08670061826705933	 ([everything][1])
I(13,22): 0.08669352531433105	 ([life][name])
I(11,53): -0.08627164363861084	 ([man][certainly])
I(15,45): 0.08600807189941406	 ([around][life])
I(16,24): 0.08561503887176514	 ([him.][calls])
I(23,56): 0.08560836315155029	 ([preacher,][10 "])
I(32,46): 0.08550024032592773	 ([preacher][easy.])
I(16,42): -0.08548521995544434	 ([him.][better.])
I(12,40): 0.08528172969818115	 ([whose][makes])
I(44,52): 0.08516693115234375	 ([everything][500])
I(21,25): 0.08505749702453613	 ([looks][middle])
I(5,31): -0.08501923084259033	 ([madsen][problems.])
I(2,54): -0.08495116233825684	 ([debut][help.])
I(11,28): 0.08470582962036133	 ([man][preacher's])
I(36,41): 0.08444470167160034	 ([word][everything])
I(28,53): -0.08356976509094238	 ([preacher's][certainly])
I(39,55): -0.08329975605010986	 ([heart.][1])
I(22,56): -0.08325159549713135	 ([name][10 "])
I(4,53): -0.08313465118408203	 ([madsen.][certainly])
I(33,54): 0.0831143856048584	 ([teaches][help.])
I(10,48): 0.08306968212127686	 ([family][film])
I(6,41): -0.08289450407028198	 ([plays][everything])
I(2,13): 0.08274734020233154	 ([debut][life])
I(3,25): -0.0825958251953125	 ([michael][middle])
I(10,24): 0.08259189128875732	 ([family][calls])
I(11,51): -0.08230471611022949	 ([man][made])
I(7,54): 0.08210158348083496	 ([cecil][help.])
I(9,25): 0.08203530311584473	 ([alcoholic][middle])
I(22,45): 0.0819704532623291	 ([name][life])
I(15,33): 0.0819091796875	 ([around][teaches])
I(13,25): -0.08166253566741943	 ([life][middle])
I(11,56): 0.08161163330078125	 ([man][10 "])
I(37,55): 0.0815543532371521	 ([god][1])
I(7,44): -0.08129233121871948	 ([cecil][everything])
I(35,40): -0.08114075660705566	 ([respect][makes])
I(1,16): 0.08099555969238281	 ([odd][him.])
I(20,27): -0.08095049858093262	 ([book,][goes])
I(25,43): -0.08072161674499512	 ([middle][ahh... if])
I(48,52): -0.08039402961730957	 ([film][500])
I(1,14): 0.08032798767089844	 ([odd][crumbling])
I(4,16): -0.08024561405181885	 ([madsen.][him.])
I(16,26): 0.08020889759063721	 ([him.][night.])
I(8,11): 0.08011519908905029	 ([moe,][man])
I(32,41): -0.08007633686065674	 ([preacher][everything])
I(6,42): 0.0799034833908081	 ([plays][better.])
I(20,52): 0.07950544357299805	 ([book,][500])
I(8,10): 0.07938063144683838	 ([moe,][family])
I(9,34): -0.07915151119232178	 ([alcoholic][cecil])
I(2,15): -0.07891905307769775	 ([debut][around])
I(27,40): 0.07885575294494629	 ([goes][makes])
I(11,14): -0.07831811904907227	 ([man][crumbling])
I(18,36): 0.07829064130783081	 ([grabs][word])
I(16,44): 0.07819366455078125	 ([him.][everything])
I(39,50): -0.07793420553207397	 ([heart.][looks])
Sum: 67.6588562130928
==================================================
