---------- AND Interactions ----------
I(33,35): 3.944896936416626	 ([falls][soon.])
I(35,40): 0.29907548427581787	 ([soon.][seriously,])
I(7): 0.29837775230407715	 ([going])
I(8,15): -0.29740476608276367	 ([thing][fiction])
I(10,57): -0.2972145080566406	 ([expecting][spy])
I(53,57): 0.29546403884887695	 ([phone][spy])
I(10,11): 0.29519057273864746	 ([expecting][either])
I(57,61): 0.29396772384643555	 ([spy][superman])
I(37,60): 0.2926948070526123	 ([supposed][cereal,])
I(39,60): 0.29239463806152344	 ([movie][cereal,])
I(8,50): -0.29205775260925293	 ([thing][funny])
I(3,20): -0.2920207977294922	 ([killer][fun])
I(2,47): 0.2917897701263428	 ([attack][found])
I(54,62): 0.29141485691070557	 ([conversations,][walking])
I(3,24): -0.2913179397583008	 ([killer][movies.])
I(35,47): 0.2911689281463623	 ([soon.][found])
I(22,61): 0.2910270690917969	 ([science][superman])
I(36,38): -0.29101061820983887	 ([never][take])
I(18,55): 0.29080653190612793	 ([comedy][russian])
I(33,53): -0.2907142639160156	 ([falls][phone])
I(38,66): -0.2896554470062256	 ([take][killer])
I(7,63): 0.2886996269226074	 ([going][lois,])
I(10,64): 0.2886563539505005	 ([expecting][etc. ).])
I(6,21): -0.28858470916748047	 ([anyone][bad])
I(13,39): -0.2878425121307373	 ([bad][movie])
I(13,67): -0.28743934631347656	 ([bad][tomatoes])
I(35,57): 0.28673553466796875	 ([soon.][spy])
I(29,30): -0.2865142822265625	 ([parody][splashed])
I(40,66): -0.2864565849304199	 ([seriously,][killer])
I(24,69): 0.2862238883972168	 ([movies.][strives])
I(4,54): 0.2858184576034546	 ([tomatoes!][conversations,])
I(29,51): 0.2856729030609131	 ([parody][( i. e,])
I(60,67): -0.28563666343688965	 ([cereal,][tomatoes])
I(28,48): -0.2845118045806885	 ([dose][jokes])
I(4,33): -0.28439903259277344	 ([tomatoes!][falls])
I(15,20): -0.2841644287109375	 ([fiction][fun])
I(25,65): -0.28401947021484375	 ([supposed][" attack])
I(13,27): 0.28352975845336914	 ([bad][both,])
I(0,69): 0.28330564498901367	 ([title][strives])
I(56,66): 0.2819807529449463	 ([olympic][killer])
I(0,18): 0.28183674812316895	 ([title][comedy])
I(26,60): -0.2816579341888428	 ([mix][cereal,])
I(4,32): -0.28088951110839844	 ([tomatoes!][unfortunately,])
I(43,48): 0.2803952693939209	 ([supposed][jokes])
I(3,37): -0.27967309951782227	 ([killer][supposed])
I(28,36): -0.2791316509246826	 ([dose][never])
I(37,48): 0.27881717681884766	 ([supposed][jokes])
I(0,48): 0.27876603603363037	 ([title][jokes])
I(3,28): -0.2786118984222412	 ([killer][dose])
I(28,54): 0.27853477001190186	 ([dose][conversations,])
I(20,35): 0.2777371406555176	 ([fun][soon.])
I(19): 0.2776956558227539	 ([making])
I(15,66): -0.27722859382629395	 ([fiction][killer])
I(58,66): -0.2771153450012207	 ([eating][killer])
I(9,54): 0.2770446538925171	 ([would][conversations,])
I(23,33): 0.2770106792449951	 ([fiction][falls])
I(14,40): -0.27660512924194336	 ([science][seriously,])
I(5,7): 0.27658867835998535	 ([",][going])
I(40,46): -0.27610087394714355	 ([seriously,][right?])
I(49,51): 0.27591848373413086	 ([situations][( i. e,])
I(43,63): 0.2757532596588135	 ([supposed][lois,])
I(29,63): 0.2757441997528076	 ([parody][lois,])
I(18,58): 0.27570509910583496	 ([comedy][eating])
I(2,58): -0.27405524253845215	 ([attack][eating])
I(8,47): 0.2736473083496094	 ([thing][found])
I(24,32): -0.2718381881713867	 ([movies.][unfortunately,])
I(11,18): 0.27170753479003906	 ([either][comedy])
I(2,10): -0.2715747356414795	 ([attack][expecting])
I(2,62): 0.27143168449401855	 ([attack][walking])
I(26,46): -0.2692835330963135	 ([mix][right?])
I(28,66): -0.2691681385040283	 ([dose][killer])
I(14,19): -0.2688302993774414	 ([science][making])
I(18,52): 0.2687859535217285	 ([comedy][side - by - side])
I(19,28): -0.26854419708251953	 ([making][dose])
I(35,44): 0.2682015895843506	 ([soon.][think])
I(3,4): -0.26798295974731445	 ([killer][tomatoes!])
I(3,47): 0.26795411109924316	 ([killer][found])
I(20,23): -0.2668691873550415	 ([fun][fiction])
I(33,37): -0.26679468154907227	 ([falls][supposed])
I(10,18): -0.2665659189224243	 ([expecting][comedy])
I(26,39): -0.2665095329284668	 ([mix][movie])
I(29,49): 0.26607847213745117	 ([parody][situations])
I(32,49): 0.26537036895751953	 ([unfortunately,][situations])
I(31,69): 0.26452088356018066	 ([in.][strives])
I(1,54): 0.26438283920288086	 ([like][conversations,])
I(18,56): 0.2642185688018799	 ([comedy][olympic])
I(33,39): -0.2635042667388916	 ([falls][movie])
I(46,47): 0.263427734375	 ([right?][found])
I(64,69): 0.2632972002029419	 ([etc. ).][strives])
I(45,54): -0.2626378536224365	 ([funny,][conversations,])
I(36,60): 0.2623598575592041	 ([never][cereal,])
I(25,69): 0.26154398918151855	 ([supposed][strives])
I(40,65): -0.26116299629211426	 ([seriously,][" attack])
I(24,34): -0.26086223125457764	 ([movies.][flat])
I(47,65): 0.2604398727416992	 ([found][" attack])
I(17,21): -0.2599949836730957	 ([b )][bad])
I(48,52): 0.2592294216156006	 ([jokes][side - by - side])
I(9,69): 0.2589724063873291	 ([would][strives])
I(0,59): 0.25887763500213623	 ([title][steroid])
I(0,65): 0.25799739360809326	 ([title][" attack])
I(9,10): 0.2574784755706787	 ([would][expecting])
I(6,54): 0.2569073438644409	 ([anyone][conversations,])
I(1,18): 0.25644826889038086	 ([like][comedy])
I(5,29): 0.256026029586792	 ([",][parody])
I(19,33): -0.2558755874633789	 ([making][falls])
I(32,58): -0.25577783584594727	 ([unfortunately,][eating])
I(3,45): 0.2547602653503418	 ([killer][funny,])
I(24,55): -0.2540860176086426	 ([movies.][russian])
I(39,42): -0.2533748149871826	 ([movie][that,])
I(23,53): 0.25292396545410156	 ([fiction][phone])
I(2,8): -0.25279855728149414	 ([attack][thing])
I(21,67): -0.25272512435913086	 ([bad][tomatoes])
I(50,58): -0.2526721954345703	 ([funny][eating])
I(4,9): 0.25234031677246094	 ([tomatoes!][would])
I(68): 0.25211381912231445	 (["])
I(25,53): -0.25174808502197266	 ([supposed][phone])
I(2,20): -0.2516591548919678	 ([attack][fun])
I(33,62): 0.25067138671875	 ([falls][walking])
I(33,36): -0.24994754791259766	 ([falls][never])
I(22,32): 0.2495417594909668	 ([science][unfortunately,])
I(6,18): 0.24935460090637207	 ([anyone][comedy])
I(0,34): 0.24884724617004395	 ([title][flat])
I(3,64): 0.2483903169631958	 ([killer][etc. ).])
I(51,56): 0.24812722206115723	 ([( i. e,][olympic])
I(58,65): -0.24812674522399902	 ([eating][" attack])
I(21,56): 0.24789118766784668	 ([bad][olympic])
I(55,57): 0.24788165092468262	 ([russian][spy])
I(18,54): 0.24743151664733887	 ([comedy][conversations,])
I(47,55): -0.24734950065612793	 ([found][russian])
I(40,63): 0.24683523178100586	 ([seriously,][lois,])
I(8,27): -0.24675321578979492	 ([thing][both,])
I(5,13): 0.2466142177581787	 ([",][bad])
I(44,69): 0.2464900016784668	 ([think][strives])
I(13,45): 0.24621224403381348	 ([bad][funny,])
I(28,62): 0.24620509147644043	 ([dose][walking])
I(44,49): -0.24618077278137207	 ([think][situations])
I(19,61): 0.2459791898727417	 ([making][superman])
I(11,35): 0.24582481384277344	 ([either][soon.])
I(48): -0.24458646774291992	 ([jokes])
I(21,52): 0.2443256378173828	 ([bad][side - by - side])
I(10,60): -0.24363017082214355	 ([expecting][cereal,])
I(15,24): -0.24359822273254395	 ([fiction][movies.])
I(32,42): -0.2434391975402832	 ([unfortunately,][that,])
I(51,62): 0.24334335327148438	 ([( i. e,][walking])
I(6,50): -0.24302268028259277	 ([anyone][funny])
I(16,63): 0.24274253845214844	 ([movie][lois,])
I(44,56): 0.24240756034851074	 ([think][olympic])
I(33,69): 0.24237918853759766	 ([falls][strives])
I(45,67): -0.24200332164764404	 ([funny,][tomatoes])
I(17,33): -0.24165105819702148	 ([b )][falls])
I(10,19): -0.24148225784301758	 ([expecting][making])
I(39,66): -0.2412865161895752	 ([movie][killer])
I(50,53): 0.24116802215576172	 ([funny][phone])
I(8,67): 0.2408456802368164	 ([thing][tomatoes])
I(9,49): -0.2401517629623413	 ([would][situations])
I(7,21): -0.24006295204162598	 ([going][bad])
I(25,44): -0.23964381217956543	 ([supposed][think])
I(25,52): 0.23957467079162598	 ([supposed][side - by - side])
I(4,24): -0.239349365234375	 ([tomatoes!][movies.])
I(25,34): -0.23926818370819092	 ([supposed][flat])
I(42,69): 0.23910188674926758	 ([that,][strives])
I(15,59): 0.23900938034057617	 ([fiction][steroid])
I(20,25): -0.23878145217895508	 ([fun][supposed])
I(4,21): -0.23832178115844727	 ([tomatoes!][bad])
I(23,52): -0.23732876777648926	 ([fiction][side - by - side])
I(14,62): 0.23715782165527344	 ([science][walking])
I(32,67): -0.2369060516357422	 ([unfortunately,][tomatoes])
I(53): -0.23622417449951172	 ([phone])
I(21,60): -0.23462367057800293	 ([bad][cereal,])
I(22,62): 0.23379874229431152	 ([science][walking])
I(21,41): 0.23318719863891602	 ([bad][realize])
I(8,48): 0.23272228240966797	 ([thing][jokes])
I(15,40): -0.23246407508850098	 ([fiction][seriously,])
I(20,56): 0.23197674751281738	 ([fun][olympic])
I(8,66): -0.23189187049865723	 ([thing][killer])
I(66,68): -0.23182153701782227	 ([killer]["])
I(3,55): 0.23179864883422852	 ([killer][russian])
I(19,69): -0.2317979335784912	 ([making][strives])
I(23,27): -0.2312835454940796	 ([fiction][both,])
I(9,63): 0.2311323881149292	 ([would][lois,])
I(14,29): -0.2306678295135498	 ([science][parody])
I(38,50): -0.23023533821105957	 ([take][funny])
I(2,60): 0.23003435134887695	 ([attack][cereal,])
I(55): -0.22991943359375	 ([russian])
I(0,49): 0.22983777523040771	 ([title][situations])
I(29,36): -0.2296009063720703	 ([parody][never])
I(4,19): -0.22907400131225586	 ([tomatoes!][making])
I(25,57): -0.22867202758789062	 ([supposed][spy])
I(52,58): 0.22842979431152344	 ([side - by - side][eating])
I(29,62): 0.22782230377197266	 ([parody][walking])
I(26,36): 0.22749733924865723	 ([mix][never])
I(33,47): 0.22741341590881348	 ([falls][found])
I(57,63): 0.22731232643127441	 ([spy][lois,])
I(22,60): 0.2272188663482666	 ([science][cereal,])
I(25,60): 0.22588300704956055	 ([supposed][cereal,])
I(14,18): 0.22576451301574707	 ([science][comedy])
I(29,56): 0.22569632530212402	 ([parody][olympic])
I(53,60): 0.22507262229919434	 ([phone][cereal,])
I(17,69): 0.2247910499572754	 ([b )][strives])
I(14,22): -0.22441864013671875	 ([science][science])
I(0,8): -0.22385632991790771	 ([title][thing])
I(23,39): -0.2229313850402832	 ([fiction][movie])
I(59,69): 0.22274231910705566	 ([steroid][strives])
I(21,59): -0.22261619567871094	 ([bad][steroid])
I(45,66): 0.22233939170837402	 ([funny,][killer])
I(37,50): -0.2223062515258789	 ([supposed][funny])
I(49,57): 0.22189199924468994	 ([situations][spy])
I(10,51): 0.22182536125183105	 ([expecting][( i. e,])
I(30,33): -0.22178888320922852	 ([splashed][falls])
I(4,66): -0.22155523300170898	 ([tomatoes!][killer])
I(2,23): 0.2212834358215332	 ([attack][fiction])
I(39,62): 0.22100067138671875	 ([movie][walking])
I(21,68): -0.22038507461547852	 ([bad]["])
I(32,53): -0.2203221321105957	 ([unfortunately,][phone])
I(16,39): -0.21944427490234375	 ([movie][movie])
I(20,43): 0.21931743621826172	 ([fun][supposed])
I(21,43): -0.21884584426879883	 ([bad][supposed])
I(48,63): 0.21865451335906982	 ([jokes][lois,])
I(9,61): 0.2186368703842163	 ([would][superman])
I(15,26): -0.21844005584716797	 ([fiction][mix])
I(55,63): 0.2181870937347412	 ([russian][lois,])
I(3,40): -0.21745920181274414	 ([killer][seriously,])
I(55,65): 0.21741294860839844	 ([russian][" attack])
I(18,34): 0.21649372577667236	 ([comedy][flat])
I(13,59): -0.2159576416015625	 ([bad][steroid])
I(0,43): 0.21593618392944336	 ([title][supposed])
I(25,36): -0.2158820629119873	 ([supposed][never])
I(21,53): -0.21567916870117188	 ([bad][phone])
I(0,53): 0.21470403671264648	 ([title][phone])
I(8,9): 0.21452999114990234	 ([thing][would])
I(1,5): 0.21438002586364746	 ([like][",])
I(24,25): -0.21436476707458496	 ([movies.][supposed])
I(3,38): -0.21381831169128418	 ([killer][take])
I(24,57): -0.2136213779449463	 ([movies.][spy])
I(25,63): 0.2133166790008545	 ([supposed][lois,])
I(38,42): 0.21253132820129395	 ([take][that,])
I(18,37): 0.2124871015548706	 ([comedy][supposed])
I(28,41): 0.21232819557189941	 ([dose][realize])
I(47,54): 0.21231400966644287	 ([found][conversations,])
I(29,69): -0.2122480869293213	 ([parody][strives])
I(19,60): -0.21169400215148926	 ([making][cereal,])
I(47,48): 0.2114849090576172	 ([found][jokes])
I(26,63): 0.21143770217895508	 ([mix][lois,])
I(23,61): 0.21139299869537354	 ([fiction][superman])
I(52,59): 0.21134543418884277	 ([side - by - side][steroid])
I(34,55): -0.21044886112213135	 ([flat][russian])
I(38,64): 0.2103041410446167	 ([take][etc. ).])
I(38,48): 0.21003174781799316	 ([take][jokes])
I(41,43): -0.20955181121826172	 ([realize][supposed])
I(17,63): 0.20950698852539062	 ([b )][lois,])
I(33,42): -0.20874404907226562	 ([falls][that,])
I(40,43): 0.2077481746673584	 ([seriously,][supposed])
I(4,65): 0.20764875411987305	 ([tomatoes!][" attack])
I(6): -0.20763111114501953	 ([anyone])
I(10,53): -0.2074604034423828	 ([expecting][phone])
I(11,63): 0.2074594497680664	 ([either][lois,])
I(12,69): 0.2069077491760254	 ([a )][strives])
I(48,64): 0.20648717880249023	 ([jokes][etc. ).])
I(27,46): 0.20644450187683105	 ([both,][right?])
I(23): -0.20625853538513184	 ([fiction])
I(64,66): 0.20622646808624268	 ([etc. ).][killer])
I(2,44): 0.2060081958770752	 ([attack][think])
I(34,49): 0.20596754550933838	 ([flat][situations])
I(43): -0.20585298538208008	 ([supposed])
I(51,52): 0.20559453964233398	 ([( i. e,][side - by - side])
I(40,58): -0.20559430122375488	 ([seriously,][eating])
I(26,37): 0.2054297924041748	 ([mix][supposed])
I(28,59): 0.20533013343811035	 ([dose][steroid])
I(49,69): 0.2046222686767578	 ([situations][strives])
I(18,24): 0.2042560577392578	 ([comedy][movies.])
I(47,49): 0.20389080047607422	 ([found][situations])
I(4,8): -0.20367646217346191	 ([tomatoes!][thing])
I(62,67): 0.20340347290039062	 ([walking][tomatoes])
I(67,68): -0.20332717895507812	 ([tomatoes]["])
I(3,7): 0.20306038856506348	 ([killer][going])
I(5,9): 0.20293235778808594	 ([",][would])
I(6,62): 0.2026350498199463	 ([anyone][walking])
I(23,45): -0.20256733894348145	 ([fiction][funny,])
I(8,11): -0.20206189155578613	 ([thing][either])
I(22,40): -0.2017531394958496	 ([science][seriously,])
I(29,37): -0.20168781280517578	 ([parody][supposed])
I(17,32): -0.20150232315063477	 ([b )][unfortunately,])
I(19,29): -0.20145893096923828	 ([making][parody])
I(47,57): 0.20100045204162598	 ([found][spy])
I(2,22): 0.20063281059265137	 ([attack][science])
I(2,15): 0.2004716396331787	 ([attack][fiction])
I(28,49): 0.1998579502105713	 ([dose][situations])
I(23,66): -0.1992347240447998	 ([fiction][killer])
I(20,62): -0.1989908218383789	 ([fun][walking])
I(0,60): 0.19896793365478516	 ([title][cereal,])
I(7,13): -0.198868989944458	 ([going][bad])
I(25,49): -0.1985950469970703	 ([supposed][situations])
I(28,69): 0.19820523262023926	 ([dose][strives])
I(8,56): 0.19814491271972656	 ([thing][olympic])
I(2,53): 0.1979079246520996	 ([attack][phone])
I(23,56): 0.1977541446685791	 ([fiction][olympic])
I(0,13): 0.19736671447753906	 ([title][bad])
I(10,28): -0.19610238075256348	 ([expecting][dose])
I(0,7): -0.19578218460083008	 ([title][going])
I(50,59): 0.19448041915893555	 ([funny][steroid])
I(27,33): -0.1944446563720703	 ([both,][falls])
I(6,29): -0.19398784637451172	 ([anyone][parody])
I(3,59): 0.19394540786743164	 ([killer][steroid])
I(48,66): 0.19323348999023438	 ([jokes][killer])
I(54,55): -0.19296061992645264	 ([conversations,][russian])
I(10,69): -0.19293475151062012	 ([expecting][strives])
I(20,69): -0.19290697574615479	 ([fun][strives])
I(13,53): -0.1924729347229004	 ([bad][phone])
I(15,45): -0.19208550453186035	 ([fiction][funny,])
I(46,54): -0.1920541524887085	 ([right?][conversations,])
I(8,34): -0.191750168800354	 ([thing][flat])
I(20,48): -0.19146645069122314	 ([fun][jokes])
I(0,4): 0.19132697582244873	 ([title][tomatoes!])
I(8,31): 0.1911313533782959	 ([thing][in.])
I(26,50): -0.19095778465270996	 ([mix][funny])
I(3,56): 0.19066786766052246	 ([killer][olympic])
I(56,58): -0.19029903411865234	 ([olympic][eating])
I(41,44): 0.18976211547851562	 ([realize][think])
I(23,60): 0.18961048126220703	 ([fiction][cereal,])
I(26,66): -0.18919587135314941	 ([mix][killer])
I(7,22): 0.18916654586791992	 ([going][science])
I(13,56): 0.18912816047668457	 ([bad][olympic])
I(34,44): -0.1889573335647583	 ([flat][think])
I(39,48): 0.18881678581237793	 ([movie][jokes])
I(55,69): 0.18847441673278809	 ([russian][strives])
I(8,25): -0.18826627731323242	 ([thing][supposed])
I(8,36): -0.1880795955657959	 ([thing][never])
I(33,60): 0.18805575370788574	 ([falls][cereal,])
I(4,13): -0.18802976608276367	 ([tomatoes!][bad])
I(44,52): -0.18802547454833984	 ([think][side - by - side])
I(8,59): 0.18787264823913574	 ([thing][steroid])
I(11,21): -0.18783116340637207	 ([either][bad])
I(37,45): 0.18774080276489258	 ([supposed][funny,])
I(7,14): 0.18642282485961914	 ([going][science])
I(20,58): -0.18628430366516113	 ([fun][eating])
I(33,43): -0.1861734390258789	 ([falls][supposed])
I(8,65): -0.18609857559204102	 ([thing][" attack])
I(9,62): 0.18586468696594238	 ([would][walking])
I(6,59): 0.18569350242614746	 ([anyone][steroid])
I(26,34): -0.18549883365631104	 ([mix][flat])
I(37,40): -0.18511962890625	 ([supposed][seriously,])
I(50,63): 0.18497729301452637	 ([funny][lois,])
I(14,23): 0.18467116355895996	 ([science][fiction])
I(19,45): 0.18429231643676758	 ([making][funny,])
I(29,61): 0.18401646614074707	 ([parody][superman])
I(4,50): -0.1839308738708496	 ([tomatoes!][funny])
I(42,44): -0.18360662460327148	 ([that,][think])
I(6,60): 0.1834104061126709	 ([anyone][cereal,])
I(22,53): 0.18240952491760254	 ([science][phone])
I(13,26): 0.18166089057922363	 ([bad][mix])
I(14,24): -0.18152189254760742	 ([science][movies.])
I(53,62): 0.18088507652282715	 ([phone][walking])
I(3,15): -0.1806957721710205	 ([killer][fiction])
I(35,41): -0.18053984642028809	 ([soon.][realize])
I(16,53): -0.1802670955657959	 ([movie][phone])
I(39,41): -0.17996501922607422	 ([movie][realize])
I(23,43): 0.17950868606567383	 ([fiction][supposed])
I(3,46): 0.17948532104492188	 ([killer][right?])
I(7,65): -0.17919635772705078	 ([going][" attack])
I(29,41): 0.17884254455566406	 ([parody][realize])
I(6,69): 0.17875337600708008	 ([anyone][strives])
I(2,40): -0.17864012718200684	 ([attack][seriously,])
I(0,9): 0.17859256267547607	 ([title][would])
I(14,48): 0.17846989631652832	 ([science][jokes])
I(10,48): -0.17771077156066895	 ([expecting][jokes])
I(49,66): 0.17761754989624023	 ([situations][killer])
I(32,64): 0.1771407127380371	 ([unfortunately,][etc. ).])
I(6,41): 0.17579615116119385	 ([anyone][realize])
I(3,9): 0.17510533332824707	 ([killer][would])
I(13,64): 0.17489337921142578	 ([bad][etc. ).])
I(25,38): -0.1747303009033203	 ([supposed][take])
I(4,40): -0.17452049255371094	 ([tomatoes!][seriously,])
I(13,60): -0.17433810234069824	 ([bad][cereal,])
I(14,53): 0.17424941062927246	 ([science][phone])
I(5,48): 0.1738293170928955	 ([",][jokes])
I(47,56): 0.17354536056518555	 ([found][olympic])
I(39,59): 0.1735363006591797	 ([movie][steroid])
I(13,68): -0.17300844192504883	 ([bad]["])
I(50,69): -0.17245149612426758	 ([funny][strives])
I(26,40): -0.17242836952209473	 ([mix][seriously,])
I(43,44): 0.17137575149536133	 ([supposed][think])
I(56,67): 0.17037153244018555	 ([olympic][tomatoes])
I(41,42): 0.1702115535736084	 ([realize][that,])
I(4,52): 0.1700751781463623	 ([tomatoes!][side - by - side])
I(46,69): 0.169977068901062	 ([right?][strives])
I(19,67): -0.16985368728637695	 ([making][tomatoes])
I(50,60): -0.16982460021972656	 ([funny][cereal,])
I(51,65): 0.16927433013916016	 ([( i. e,][" attack])
I(8,52): -0.16904234886169434	 ([thing][side - by - side])
I(14,58): -0.16892766952514648	 ([science][eating])
I(37,65): -0.168778657913208	 ([supposed][" attack])
I(2,28): -0.16877222061157227	 ([attack][dose])
I(56,62): -0.16778028011322021	 ([olympic][walking])
I(33,57): -0.1677544116973877	 ([falls][spy])
I(1,48): 0.16768097877502441	 ([like][jokes])
I(13,41): 0.16757583618164062	 ([bad][realize])
I(4,62): 0.16724562644958496	 ([tomatoes!][walking])
I(40,52): 0.16693925857543945	 ([seriously,][side - by - side])
I(0,29): 0.16622579097747803	 ([title][parody])
I(1,28): 0.16561102867126465	 ([like][dose])
I(27,34): 0.16532552242279053	 ([both,][flat])
I(15,47): -0.16526508331298828	 ([fiction][found])
I(23,47): -0.1651139259338379	 ([fiction][found])
I(43,50): -0.16493606567382812	 ([supposed][funny])
I(16,69): 0.1638786792755127	 ([movie][strives])
I(52,67): 0.16377973556518555	 ([side - by - side][tomatoes])
I(43,61): 0.16369271278381348	 ([supposed][superman])
I(44,48): -0.16360187530517578	 ([think][jokes])
I(6,47): 0.1633002758026123	 ([anyone][found])
I(25,58): -0.16325116157531738	 ([supposed][eating])
I(38,54): 0.1632140874862671	 ([take][conversations,])
I(8,61): 0.16316986083984375	 ([thing][superman])
I(26,67): -0.1629347801208496	 ([mix][tomatoes])
I(4,6): 0.16292476654052734	 ([tomatoes!][anyone])
I(7,48): 0.162858247756958	 ([going][jokes])
I(29,35): 0.16281819343566895	 ([parody][soon.])
I(1,23): 0.16256451606750488	 ([like][fiction])
I(25,56): 0.16207432746887207	 ([supposed][olympic])
I(29,64): 0.1616290807723999	 ([parody][etc. ).])
I(32,48): -0.16145992279052734	 ([unfortunately,][jokes])
I(47,51): 0.16135239601135254	 ([found][( i. e,])
I(13,48): -0.16131210327148438	 ([bad][jokes])
I(24,59): 0.16106534004211426	 ([movies.][steroid])
I(18,66): 0.16086721420288086	 ([comedy][killer])
I(63,68): 0.16030526161193848	 ([lois,]["])
I(22,28): 0.16020464897155762	 ([science][dose])
I(1,60): 0.16005182266235352	 ([like][cereal,])
I(2,69): 0.1600196361541748	 ([attack][strives])
I(19,26): -0.15991568565368652	 ([making][mix])
I(23,54): 0.15962374210357666	 ([fiction][conversations,])
I(18,51): 0.15959978103637695	 ([comedy][( i. e,])
I(43,54): 0.15931379795074463	 ([supposed][conversations,])
I(6,9): -0.15928149223327637	 ([anyone][would])
I(6,40): -0.1592559814453125	 ([anyone][seriously,])
I(5,34): 0.15904951095581055	 ([",][flat])
I(1,2): 0.15901970863342285	 ([like][attack])
I(19,66): -0.1588282585144043	 ([making][killer])
I(36,41): 0.15882277488708496	 ([never][realize])
I(16,45): -0.15851259231567383	 ([movie][funny,])
I(39,50): -0.1581566333770752	 ([movie][funny])
I(4,41): 0.15755867958068848	 ([tomatoes!][realize])
I(18,48): 0.15749049186706543	 ([comedy][jokes])
I(52): -0.15745925903320312	 ([side - by - side])
I(22,29): -0.15683507919311523	 ([science][parody])
I(16,60): -0.1565253734588623	 ([movie][cereal,])
I(13,52): 0.15643978118896484	 ([bad][side - by - side])
I(2,52): 0.15642809867858887	 ([attack][side - by - side])
I(16,29): -0.1563732624053955	 ([movie][parody])
I(8,62): -0.15617156028747559	 ([thing][walking])
I(8,29): -0.15533709526062012	 ([thing][parody])
I(58,62): -0.15517926216125488	 ([eating][walking])
I(3,53): 0.15471220016479492	 ([killer][phone])
I(30,40): -0.1546332836151123	 ([splashed][seriously,])
I(41,48): 0.15457546710968018	 ([realize][jokes])
I(18,46): 0.15455007553100586	 ([comedy][right?])
I(51,67): -0.15443658828735352	 ([( i. e,][tomatoes])
I(32,68): -0.15440845489501953	 ([unfortunately,]["])
I(0,45): 0.1542297601699829	 ([title][funny,])
I(2,25): -0.15413856506347656	 ([attack][supposed])
I(0,21): 0.15388822555541992	 ([title][bad])
I(24,30): -0.15388774871826172	 ([movies.][splashed])
I(4,59): 0.15375566482543945	 ([tomatoes!][steroid])
I(42,55): -0.15374624729156494	 ([that,][russian])
I(28,56): 0.15371155738830566	 ([dose][olympic])
I(5,59): 0.15369844436645508	 ([",][steroid])
I(65,68): -0.15368390083312988	 ([" attack]["])
I(4,49): 0.15363013744354248	 ([tomatoes!][situations])
I(30): 0.15357685089111328	 ([splashed])
I(6,25): -0.15346622467041016	 ([anyone][supposed])
I(11,14): 0.15320420265197754	 ([either][science])
I(0,3): 0.15313947200775146	 ([title][killer])
I(15,50): -0.15279006958007812	 ([fiction][funny])
I(19,32): -0.15272140502929688	 ([making][unfortunately,])
I(7,17): -0.1526942253112793	 ([going][b )])
I(34,63): 0.15269184112548828	 ([flat][lois,])
I(3,19): -0.15241003036499023	 ([killer][making])
I(19,63): 0.1523425579071045	 ([making][lois,])
I(39,63): 0.15214753150939941	 ([movie][lois,])
I(26,58): -0.15192580223083496	 ([mix][eating])
I(49,64): 0.15147697925567627	 ([situations][etc. ).])
I(24,51): -0.15144586563110352	 ([movies.][( i. e,])
I(34,41): 0.15142786502838135	 ([flat][realize])
I(46,49): 0.1513986587524414	 ([right?][situations])
I(51): -0.15121912956237793	 ([( i. e,])
I(0,27): 0.15111494064331055	 ([title][both,])
I(40,67): -0.1509556770324707	 ([seriously,][tomatoes])
I(1,8): 0.1509394645690918	 ([like][thing])
I(1,65): 0.15085196495056152	 ([like][" attack])
I(14,60): 0.1506035327911377	 ([science][cereal,])
I(22,69): -0.15056729316711426	 ([science][strives])
I(1,4): 0.15020084381103516	 ([like][tomatoes!])
I(6,55): 0.14996659755706787	 ([anyone][russian])
I(14): 0.14995908737182617	 ([science])
I(24,64): -0.14989173412322998	 ([movies.][etc. ).])
I(39,61): -0.14982736110687256	 ([movie][superman])
I(33,67): -0.14978551864624023	 ([falls][tomatoes])
I(16,49): 0.14896059036254883	 ([movie][situations])
I(21,46): 0.14879751205444336	 ([bad][right?])
I(37,52): 0.14873647689819336	 ([supposed][side - by - side])
I(29,38): -0.14871954917907715	 ([parody][take])
I(2,41): 0.14852428436279297	 ([attack][realize])
I(5,20): -0.1481645107269287	 ([",][fun])
I(27,69): 0.14806830883026123	 ([both,][strives])
I(14,34): 0.14790403842926025	 ([science][flat])
I(33,45): -0.14786148071289062	 ([falls][funny,])
I(41,49): 0.1473860740661621	 ([realize][situations])
I(0,6): 0.14720022678375244	 ([title][anyone])
I(47,66): 0.14717936515808105	 ([found][killer])
I(12,35): 0.1471247673034668	 ([a )][soon.])
I(36,39): -0.14677119255065918	 ([never][movie])
I(19,25): -0.14672398567199707	 ([making][supposed])
I(45,55): -0.14666962623596191	 ([funny,][russian])
I(49,65): 0.14653825759887695	 ([situations][" attack])
I(1,45): 0.14565682411193848	 ([like][funny,])
I(7,34): -0.14552628993988037	 ([going][flat])
I(1,3): 0.14550423622131348	 ([like][killer])
I(62,66): 0.14538192749023438	 ([walking][killer])
I(19,58): -0.14496302604675293	 ([making][eating])
I(4,26): -0.14465975761413574	 ([tomatoes!][mix])
I(14,27): -0.14458060264587402	 ([science][both,])
I(7,41): 0.14450359344482422	 ([going][realize])
I(41,58): 0.14444303512573242	 ([realize][eating])
