---------- AND Interactions ----------
I(54): -3.2403712272644043	 ([bored])
I(11,31): -0.1033487319946289	 ([love][let's])
I(44,47): 0.10319375991821289	 ([way.][logical])
I(24,47): 0.10312175750732422	 ([doppelganger][logical])
I(44,48): 0.10243427753448486	 ([way.][entertaining])
I(26,48): 0.10216391086578369	 ([end][entertaining])
I(13,19): 0.1021261215209961	 ([doppelganger][poor,])
I(9): 0.10191494226455688	 ([office,])
I(0,19): -0.10163986682891846	 ([certain][poor,])
I(10,18): 0.10158252716064453	 ([discussing][execution])
I(34,44): 0.10151374340057373	 ([say][way.])
I(15,46): -0.10113632678985596	 ([attempt][movie])
I(32,44): 0.10093450546264648	 ([see][way.])
I(32,50): 0.09979593753814697	 ([see][emotional])
I(7,47): -0.09973609447479248	 ([phone][logical])
I(4,42): -0.0997055172920227	 ([laughing][story])
I(23,42): -0.09966492652893066	 ([talent.][story])
I(40,48): -0.09937906265258789	 ([actually][entertaining])
I(32,51): 0.09919989109039307	 ([see][level?])
I(9,24): -0.09886938333511353	 ([office,][doppelganger])
I(6,27): 0.09869414567947388	 ([scene][like...])
I(7,22): -0.09862905740737915	 ([phone][message])
I(34,49): 0.09843379259109497	 ([say][communicate])
I(5,15): -0.09829390048980713	 ([throughout.][attempt])
I(6,21): -0.09763181209564209	 ([scene][writer's])
I(27,46): -0.09742426872253418	 ([like...][movie])
I(1,24): 0.0971989631652832	 ([genius][doppelganger])
I(43,49): -0.09713947772979736	 ([strange][communicate])
I(19,25): 0.09711039066314697	 ([poor,][split])
I(0,10): 0.09697967767715454	 ([certain][discussing])
I(11,19): -0.09684628248214722	 ([love][poor,])
I(11,32): -0.09678328037261963	 ([love][see])
I(22,47): -0.09669661521911621	 ([message][logical])
I(7,10): -0.09660720825195312	 ([phone][discussing])
I(1,41): -0.09603339433670044	 ([genius][coherent])
I(14): -0.09587997198104858	 ([nice])
I(13,32): 0.09569430351257324	 ([doppelganger][see])
I(27,37): 0.09520280361175537	 ([like...][ridiculous,])
I(32,37): 0.09493732452392578	 ([see][ridiculous,])
I(45,48): -0.09451615810394287	 ([point][entertaining])
I(23,55): 0.09451061487197876	 ([talent.][many])
I(11,49): -0.09437084197998047	 ([love][communicate])
I(19,52): -0.09402281045913696	 ([poor,][i'm])
I(9,34): -0.0939677357673645	 ([office,][say])
I(4,43): 0.09396541118621826	 ([laughing][strange])
I(39,52): -0.09391963481903076	 ([idea][i'm])
I(20,43): -0.09383034706115723	 ([see][strange])
I(18,53): 0.09371638298034668	 ([execution][easily])
I(1,31): 0.09339272975921631	 ([genius][let's])
I(13,21): 0.09322363138198853	 ([doppelganger][writer's])
I(45,47): 0.09282034635543823	 ([point][logical])
I(27,29): -0.09272485971450806	 ([like...][quite])
I(32,43): 0.09247875213623047	 ([see][strange])
I(1,44): -0.09177333116531372	 ([genius][way.])
I(25,42): 0.09140264987945557	 ([split][story])
I(8,42): -0.09127599000930786	 ([sex][story])
I(4,9): -0.09111666679382324	 ([laughing][office,])
I(4,7): 0.09090787172317505	 ([laughing][phone])
I(29,30): -0.09080320596694946	 ([quite][expecting])
I(21,32): 0.09063103795051575	 ([writer's][see])
I(22,27): -0.09044724702835083	 ([message][like...])
I(45,49): 0.09044420719146729	 ([point][communicate])
I(11,52): 0.09037083387374878	 ([love][i'm])
I(4,52): -0.090309739112854	 ([laughing][i'm])
I(32,48): 0.09021294116973877	 ([see][entertaining])
I(25,34): 0.08988296985626221	 ([split][say])
I(12,33): 0.0898357629776001	 ([heals][movie])
I(31,41): 0.08966958522796631	 ([let's][coherent])
I(39,40): -0.08931660652160645	 ([idea][actually])
I(13,47): 0.08922326564788818	 ([doppelganger][logical])
I(9,42): 0.08896344900131226	 ([office,][story])
I(23,29): 0.08894467353820801	 ([talent.][quite])
I(44,46): 0.08890390396118164	 ([way.][movie])
I(21,24): 0.08876243233680725	 ([writer's][doppelganger])
I(47,51): -0.08871150016784668	 ([logical][level?])
I(23,49): -0.08863341808319092	 ([talent.][communicate])
I(9,51): -0.08835035562515259	 ([office,][level?])
I(7,21): -0.08834397792816162	 ([phone][writer's])
I(39,49): -0.08833712339401245	 ([idea][communicate])
I(12,30): -0.08807408809661865	 ([heals][expecting])
I(14,45): -0.08772701025009155	 ([nice][point])
I(13,22): -0.08758324384689331	 ([doppelganger][message])
I(5,18): 0.0875672698020935	 ([throughout.][execution])
I(8,49): 0.0875416100025177	 ([sex][communicate])
I(25,49): 0.08672094345092773	 ([split][communicate])
I(20,37): -0.08602213859558105	 ([see][ridiculous,])
I(14,30): -0.08593064546585083	 ([nice][expecting])
I(2,33): -0.08577322959899902	 ([behind][movie])
I(3,32): 0.08556526899337769	 ([movie.][see])
I(31,53): 0.08550757169723511	 ([let's][easily])
I(21,43): -0.0854494571685791	 ([writer's][strange])
I(23,27): 0.08488249778747559	 ([talent.][like...])
I(31,45): -0.08465784788131714	 ([let's][point])
I(6,35): 0.08461803197860718	 ([scene][".])
I(48,51): 0.08456611633300781	 ([entertaining][level?])
I(15,18): 0.0841640830039978	 ([attempt][execution])
I(4,14): -0.08390951156616211	 ([laughing][nice])
I(46,52): -0.08387875556945801	 ([movie][i'm])
I(38,51): -0.08385652303695679	 ([sweet][level?])
I(6,47): -0.0837557315826416	 ([scene][logical])
I(38,49): 0.08353239297866821	 ([sweet][communicate])
I(16,22): -0.08320850133895874	 ([genius][message])
I(33,51): 0.08312076330184937	 ([movie][level?])
I(1,17): 0.08299267292022705	 ([genius][humor.])
I(12): -0.08279472589492798	 ([heals])
I(6,43): -0.08263623714447021	 ([scene][strange])
I(32,38): 0.0823531448841095	 ([see][sweet])
I(6,24): -0.08211773633956909	 ([scene][doppelganger])
I(1,35): -0.08210700750350952	 ([genius][".])
I(20,46): -0.08203786611557007	 ([see][movie])
I(1,34): 0.0817873477935791	 ([genius][say])
I(35,49): -0.0816769003868103	 ([".][communicate])
I(22,33): -0.08133375644683838	 ([message][movie])
I(32,42): 0.0811394453048706	 ([see][story])
Sum: -22.894103050231934
==================================================
