---------- AND Interactions ----------
I(FG): -3.825232744216919	 ([healthy][gunfight])
I(Vf): 0.1517343521118164	 ([aging][bitch])
I(WY): 0.1514330506324768	 ([rent - boy][they'd])
I(I}): 0.1514120101928711	 ([couple,][green])
I(Zf): -0.15064489841461182	 ([shared][bitch])
I(Ve): -0.15053331851959229	 ([aging][whore])
I(\}): 0.15032613277435303	 ([house.][green])
I(_f): -0.15014991164207458	 ([blown][bitch])
I(Mr): -0.1500830054283142	 ([old - timer][pressure])
I(I[): -0.14975175261497498	 ([couple,][rubber])
I(Cu): -0.14927911758422852	 ([could][incessant])
I(CF): 0.1485692262649536	 ([could][healthy])
I(Jd): 0.14851820468902588	 ([exotic][snags ;])
I(R_): -0.14845603704452515	 ([out )][blown])
I(Tr): 0.1477954387664795	 ([watching][pressure])
I(Wc): -0.14738115668296814	 ([rent - boy][resolved])
I(GU): -0.14715054631233215	 ([gunfight][woods])
I([j): -0.1469927430152893	 ([rubber][reason])
I(J\): -0.14698684215545654	 ([exotic][house.])
I(Xj): 0.14689123630523682	 ([guys][reason])
I(Ss): -0.1468571424484253	 ([secretly][bloody])
I(Ir): -0.14668190479278564	 ([couple,][pressure])
I(T\): 0.14666959643363953	 ([watching][house.])
I(Xr): 0.14608275890350342	 ([guys][pressure])
I(L[): -0.1460781693458557	 ([delicatessen,][rubber])
I(Ef): -0.14598950743675232	 ([sketch.][bitch])
I(Md): 0.14589929580688477	 ([old - timer][snags ;])
I(_m): 0.14579349756240845	 ([blown][friends,])
I(FY): 0.1457444131374359	 ([healthy][they'd])
I(i): 0.14549803733825684	 ([windscreen,])
I(\b): -0.1451587677001953	 ([house.][smithereens,])
I([r): 0.14493530988693237	 ([rubber][pressure])
I(I\): 0.14465773105621338	 ([couple,][house.])
I(js): 0.1445576548576355	 ([reason][bloody])
I(Q{): 0.14455580711364746	 ([turned][crawl - space])
I(U|): -0.1445157527923584	 ([woods][chic,])
I(X}): 0.14435872435569763	 ([guys][green])
I(Br): -0.1442934274673462	 ([thing][pressure])
I(L_): 0.14399826526641846	 ([delicatessen,][blown])
I(uz): 0.14398756623268127	 ([incessant][.])
I(PR): -0.14353817701339722	 ([would][out )])
I(DL): -0.14351075887680054	 ([redeemed][delicatessen,])
I(Q|): -0.14306306838989258	 ([turned][chic,])
I(Be): -0.14180731773376465	 ([thing][whore])
I(BI): 0.1410903036594391	 ([thing][couple,])
I(Tt): 0.14094829559326172	 ([watching][tampon,])
I(E\): 0.1406061351299286	 ([sketch.][house.])
I(e|): -0.14047574996948242	 ([whore][chic,])
I(fr): -0.14046338200569153	 ([bitch][pressure])
I(j{): 0.14021074771881104	 ([reason][crawl - space])
I(h{): 0.13999855518341064	 ([ode][crawl - space])
I(dv): 0.13978523015975952	 ([snags ;][phone])
I(Jh): -0.13965311646461487	 ([exotic][ode])
I(T]): 0.13950684666633606	 ([watching][process,])
I(Gt): -0.13853490352630615	 ([gunfight][tampon,])
I(FU): 0.1383199691772461	 ([healthy][woods])
I(Gl): 0.1382920742034912	 ([gunfight][" no])
I(Vr): -0.13821715116500854	 ([aging][pressure])
I(AB): 0.13806766271591187	 ([one][thing])
I(T): -0.13804492354393005	 ([watching])
I(`c): -0.13783085346221924	 ([freezing][resolved])
I(FJ): -0.1377793550491333	 ([healthy][exotic])
I(k~): -0.13664111495018005	 ([protagonist][thumb,])
I(DS): -0.13640907406806946	 ([redeemed][secretly])
I(Ju): 0.13622117042541504	 ([exotic][incessant])
I(NR): -0.13612616062164307	 ([motel][out )])
I(Z_): 0.1355280876159668	 ([shared][blown])
I(`j): 0.13526752591133118	 ([freezing][reason])
I(f|): 0.13398492336273193	 ([bitch][chic,])
I(BX): -0.13386356830596924	 ([thing][guys])
I(lm): -0.13371968269348145	 ([" no][friends,])
I([}): -0.13356268405914307	 ([rubber][green])
I([z): -0.13335466384887695	 ([rubber][.])
I(Q_): -0.13310343027114868	 ([turned][blown])
I(Q~): 0.13294848799705505	 ([turned][thumb,])
I(LZ): -0.13263234496116638	 ([delicatessen,][shared])
I(Er): -0.1324862539768219	 ([sketch.][pressure])
I(CG): 0.13218501210212708	 ([could][gunfight])
I(lp): 0.13128989934921265	 ([" no][explaining])
I(G~): 0.13110700249671936	 ([gunfight][thumb,])
I(Gw): 0.13096022605895996	 ([gunfight][calls])
I(au): -0.13054704666137695	 ([shack][incessant])
I(Yb): -0.13054251670837402	 ([they'd][smithereens,])
I(Bl): -0.13052648305892944	 ([thing][" no])
I(K{): -0.13038766384124756	 ([model][crawl - space])
I(FM): 0.13013145327568054	 ([healthy][old - timer])
I(Je): -0.13008809089660645	 ([exotic][whore])
I(W}): 0.12988156080245972	 ([rent - boy][green])
I(Xi): 0.1294037103652954	 ([guys][windscreen,])
I(Gx): -0.12927260994911194	 ([gunfight][.])
I(u}): -0.12924447655677795	 ([incessant][green])
I(Xu): -0.12894415855407715	 ([guys][incessant])
I(AG): -0.12883925437927246	 ([one][gunfight])
I(Y{): -0.12859082221984863	 ([they'd][crawl - space])
I(Ws): 0.12852022051811218	 ([rent - boy][bloody])
I(m~): 0.1280762255191803	 ([friends,][thumb,])
I(Cd): -0.12791454792022705	 ([could][snags ;])
I(mt): 0.12783443927764893	 ([friends,][tampon,])
I(Kk): -0.12737560272216797	 ([model][protagonist])
I(E~): 0.12694695591926575	 ([sketch.][thumb,])
I(Ou): 0.12692689895629883	 ([( it][incessant])
I(Yk): 0.12691712379455566	 ([they'd][protagonist])
I(Cq): -0.12689924240112305	 ([could][coolness])
I(EP): 0.12670758366584778	 ([sketch.][would])
I(b~): 0.1262167990207672	 ([smithereens,][thumb,])
I(`s): -0.12608864903450012	 ([freezing][bloody])
I(Wb): -0.12583056092262268	 ([rent - boy][smithereens,])
I(ln): -0.1256147027015686	 ([" no]["])
I(bq): 0.12515830993652344	 ([smithereens,][coolness])
I(ew): -0.12511587142944336	 ([whore][calls])
I(Ru): -0.12503266334533691	 ([out )][incessant])
I(^q): -0.1249149739742279	 ([could][coolness])
I(Nb): 0.12474381923675537	 ([motel][smithereens,])
I(Ki): 0.12441670894622803	 ([model][windscreen,])
I(U[): -0.12439680099487305	 ([woods][rubber])
I(Fc): -0.12402665615081787	 ([healthy][resolved])
I(CQ): 0.12381279468536377	 ([could][turned])
I(mo): 0.12375572323799133	 ([friends,][well])
I(df): -0.1237511932849884	 ([snags ;][bitch])
I(La): -0.123750239610672	 ([delicatessen,][shack])
I(Nk): -0.12364053726196289	 ([motel][protagonist])
I(Wh): -0.1234598159790039	 ([rent - boy][ode])
I(It): 0.12329542636871338	 ([couple,][tampon,])
I(Lk): -0.12321934103965759	 ([delicatessen,][protagonist])
I(CP): -0.1227010190486908	 ([could][would])
I(FO): -0.1220560371875763	 ([healthy][( it])
I(_s): -0.12202954292297363	 ([blown][bloody])
I(L\): 0.12187597155570984	 ([delicatessen,][house.])
I(Ad): 0.1217958927154541	 ([one][snags ;])
I(Hj): 0.12178319692611694	 ([happy][reason])
I(Eu): -0.12143301963806152	 ([sketch.][incessant])
I(Xv): -0.1213984489440918	 ([guys][phone])
I(wy): 0.12108948826789856	 ([calls][.])
I(W]): -0.12098449468612671	 ([rent - boy][process,])
I(kp): 0.12082982063293457	 ([protagonist][explaining])
I(F]): 0.12044599652290344	 ([healthy][process,])
I(EW): -0.12031528353691101	 ([sketch.][rent - boy])
I(V[): -0.12013530731201172	 ([aging][rubber])
I(Rq): -0.11965394020080566	 ([out )][coolness])
I(As): -0.11957752704620361	 ([one][bloody])
I(Od): -0.11934709548950195	 ([( it][snags ;])
I(]|): 0.1192704439163208	 ([process,][chic,])
I(]}): 0.11923792958259583	 ([process,][green])
I(Lj): 0.11902952194213867	 ([delicatessen,][reason])
I(Sr): -0.11860251426696777	 ([secretly][pressure])
I(Zl): 0.11832296848297119	 ([shared][" no])
I(Zr): -0.11816439032554626	 ([shared][pressure])
I(Uj): 0.11796605587005615	 ([woods][reason])
I(R): 0.11783093214035034	 ([out )])
I(NZ): -0.11779749393463135	 ([motel][shared])
I(KV): 0.11730629205703735	 ([model][aging])
I(X\): -0.11572015285491943	 ([guys][house.])
I(f~): -0.11563622951507568	 ([bitch][thumb,])
I(Qq): 0.11556243896484375	 ([turned][coolness])
I([g): -0.1153486967086792	 ([rubber]["])
I([f): 0.11523616313934326	 ([rubber][bitch])
I(Qd): 0.11517119407653809	 ([turned][snags ;])
I(bs): -0.11507153511047363	 ([smithereens,][bloody])
I({}): -0.11499297618865967	 ([crawl - space][green])
I(G{): 0.11480224132537842	 ([gunfight][crawl - space])
I(ou): -0.11467432975769043	 ([well][incessant])
I(_~): -0.11459079384803772	 ([blown][thumb,])
I(Yf): -0.11447346210479736	 ([they'd][bitch])
I(cm): -0.11444532871246338	 ([resolved][friends,])
I(Z^): 0.1133832037448883	 ([shared][could])
I(d}): 0.11324310302734375	 ([snags ;][green])
I(ns): 0.11313939094543457	 (["][bloody])
I(]{): -0.11310505867004395	 ([process,][crawl - space])
I(A^): -0.11287924647331238	 ([one][could])
I(e{): -0.11273491382598877	 ([whore][crawl - space])
I(Dp): -0.11249107122421265	 ([redeemed][explaining])
I(G]): 0.11246183514595032	 ([gunfight][process,])
I(N]): -0.11172962188720703	 ([motel][process,])
I([~): -0.11163771152496338	 ([rubber][thumb,])
I(ms): 0.11152207851409912	 ([friends,][bloody])
I(MP): -0.11145287752151489	 ([old - timer][would])
I(VX): 0.11101019382476807	 ([aging][guys])
I(eg): 0.11076879501342773	 ([whore]["])
I(Nn): 0.11060595512390137	 ([motel]["])
I(\d): -0.11057066917419434	 ([house.][snags ;])
I(rz): -0.11052334308624268	 ([pressure][.])
I(C{): -0.11043870449066162	 ([could][crawl - space])
I(Wm): 0.11042779684066772	 ([rent - boy][friends,])
I(NX): -0.10945272445678711	 ([motel][guys])
I(hv): 0.10922139883041382	 ([ode][phone])
I(N^): -0.10906243324279785	 ([motel][could])
I(Fr): -0.10877740383148193	 ([healthy][pressure])
I(Ka): 0.10871168971061707	 ([model][shack])
I(MN): -0.10850393772125244	 ([old - timer][motel])
I(FX): 0.10830259323120117	 ([healthy][guys])
I(rw): 0.10815060138702393	 ([pressure][calls])
I(]t): 0.10786870121955872	 ([process,][tampon,])
I(Rl): -0.10784024000167847	 ([out )][" no])
I(NP): -0.1076434850692749	 ([motel][would])
I(_t): -0.10756215453147888	 ([blown][tampon,])
I(FR): -0.10732877254486084	 ([healthy][out )])
I(S|): 0.10722565650939941	 ([secretly][chic,])
I(ko): 0.10719156265258789	 ([protagonist][well])
I(JN): -0.1071174144744873	 ([exotic][motel])
I(FT): -0.10706043243408203	 ([healthy][watching])
I(IW): 0.10705113410949707	 ([couple,][rent - boy])
I(PT): 0.10691437125205994	 ([would][watching])
I(HJ): -0.10658454895019531	 ([happy][exotic])
I(BW): 0.10626131296157837	 ([thing][rent - boy])
I(n{): 0.10606950521469116	 (["][crawl - space])
I(Js): -0.1058807373046875	 ([exotic][bloody])
I(Jb): -0.10573756694793701	 ([exotic][smithereens,])
I(LQ): -0.10545125603675842	 ([delicatessen,][turned])
I(Yu): -0.10522890090942383	 ([they'd][incessant])
I(A|): 0.10515618324279785	 ([one][chic,])
I(M[): -0.10485127568244934	 ([old - timer][rubber])
I(]e): -0.10475608706474304	 ([process,][whore])
I(Sk): 0.10470461845397949	 ([secretly][protagonist])
I(jz): -0.10390609502792358	 ([reason][.])
I(JK): -0.10389810800552368	 ([exotic][model])
I(`a): 0.1037268340587616	 ([freezing][shack])
I(lt): -0.10362860560417175	 ([" no][tampon,])
I(JM): -0.10268104076385498	 ([exotic][old - timer])
I(K}): 0.10235869884490967	 ([model][green])
I(BZ): 0.1018834114074707	 ([thing][shared])
I(D]): 0.10141775012016296	 ([redeemed][process,])
I([p): 0.10135883092880249	 ([rubber][explaining])
I(Il): 0.10122600197792053	 ([couple,][" no])
I(Do): -0.10096138715744019	 ([redeemed][well])
I(OR): -0.10093501210212708	 ([( it][out )])
I(QW): -0.10090270638465881	 ([turned][rent - boy])
I(Kq): -0.10067117214202881	 ([model][coolness])
I(h}): 0.10058757662773132	 ([ode][green])
I(Bc): -0.09996950626373291	 ([thing][resolved])
I(T}): 0.0998028814792633	 ([watching][green])
I(Gb): -0.09961295127868652	 ([gunfight][smithereens,])
I(Rb): -0.09931659698486328	 ([out )][smithereens,])
I(Yi): 0.09924638271331787	 ([they'd][windscreen,])
I(G_): -0.09916791319847107	 ([gunfight][blown])
I(j~): 0.0986935943365097	 ([reason][thumb,])
I(h|): 0.09865188598632812	 ([ode][chic,])
I(Xq): 0.09861636161804199	 ([guys][coolness])
I(z): -0.09859791398048401	 ([.])
I(no): -0.09832179546356201	 (["][well])
I(Mm): 0.09831583499908447	 ([old - timer][friends,])
I(gq): 0.09821248054504395	 (["][coolness])
I(Xm): -0.09814375638961792	 ([guys][friends,])
I(Yd): -0.09811839461326599	 ([they'd][snags ;])
I(AI): 0.09788644313812256	 ([one][couple,])
I(KW): 0.09782573580741882	 ([model][rent - boy])
I(K`): 0.0977652370929718	 ([model][freezing])
I(dk): 0.09764134883880615	 ([snags ;][protagonist])
I(E^): -0.09754505753517151	 ([sketch.][could])
I(\`): 0.09705835580825806	 ([house.][freezing])
I(Wa): 0.09704339504241943	 ([rent - boy][shack])
I(Tc): 0.09703829884529114	 ([watching][resolved])
I(O): -0.09693369269371033	 ([( it])
I(bw): -0.09681004285812378	 ([smithereens,][calls])
I(nr): 0.09671616554260254	 (["][pressure])
I(Xn): 0.096690833568573	 ([guys]["])
I(eo): 0.09640240669250488	 ([whore][well])
I(Q`): -0.09617778658866882	 ([turned][freezing])
I(Ut): -0.095693439245224	 ([woods][tampon,])
I(L): -0.09558966755867004	 ([delicatessen,])
Sum: 0.06334322690963745
==================================================
