---------- AND Interactions ----------
I(45,46): 3.8299875259399414	 ([without][artistry.])
I(12,44): -0.111733078956604	 ([glasses][directed])
I(14,48): -0.11160564422607422	 ([collection][wrong :])
I(5,37): 0.11152815818786621	 ([barely][set])
I(28,49): 0.11140507459640503	 ([gag ) ;][1])
I(13,17): -0.11126160621643066	 (["][jokes.])
I(12,20): -0.11112475395202637	 ([glasses][can't])
I(8,53): 0.1107029914855957	 ([feature][actually])
I(4,43): -0.11052596569061279	 ([operates.][nearly])
I(16,37): -0.11042380332946777	 ([dirty][set])
I(7,23): -0.11034440994262695	 ([reaching][supposed])
I(11,24): -0.10994648933410645	 ([need][punchline])
I(5,20): -0.10990893840789795	 ([barely][can't])
I(32,49): -0.10948395729064941	 ([believe][1])
I(45,52): 0.10937261581420898	 ([without][jokes])
I(40,54): 0.10931575298309326	 ([students '][manages])
I(36,40): 0.10931074619293213	 ([time][students '])
I(10,20): -0.10927021503448486	 ([it....'till][can't])
I(14,57): 0.10910665988922119	 ([collection][iron])
I(21,22): 0.10910546779632568	 ([believe][realize])
I(0,57): -0.1090896725654602	 ([.... as][iron])
I(16,52): -0.10899209976196289	 ([dirty][jokes])
I(1,28): -0.10891765356063843	 ([level][gag ) ;])
I(31,47): 0.10882985591888428	 ([can't][get])
I(0,58): -0.10849392414093018	 ([.... as][phone])
I(33): -0.10849261283874512	 ([realize])
I(3,9): 0.10836482048034668	 ([comedy][length,])
I(12,14): 0.10781753063201904	 ([glasses][collection])
I(2,46): 0.10754883289337158	 ([wit][artistry.])
I(1,7): -0.10733413696289062	 ([level][reaching])
I(33,41): 0.1066892147064209	 ([realize][awards])
I(20,48): 0.10667216777801514	 ([can't][wrong :])
I(41,57): -0.10654890537261963	 ([awards][iron])
I(16,47): -0.10588669776916504	 ([dirty][get])
I(5,22): -0.10586726665496826	 ([barely][realize])
I(25,48): 0.10567772388458252	 ([( example :][wrong :])
I(5,15): -0.10565197467803955	 ([barely][( mostly )])
I(26,38): -0.10544955730438232	 ([santa][punchline])
I(14,32): 0.10512495040893555	 ([collection][believe])
I(3,39): 0.10478830337524414	 ([comedy][( example :])
I(9,54): -0.10450470447540283	 ([length,][manages])
I(13,42): -0.10441362857818604	 (["][gag ).])
I(35,42): -0.10436427593231201	 ([much][gag ).])
I(36,49): 0.10412591695785522	 ([time][1])
I(11,23): -0.10407137870788574	 ([need][supposed])
I(38,42): -0.10381317138671875	 ([punchline][gag ).])
I(25,53): -0.10350877046585083	 ([( example :][actually])
I(48,53): 0.10346102714538574	 ([wrong :][actually])
I(23,39): -0.10322368144989014	 ([supposed][( example :])
I(33,36): 0.10295557975769043	 ([realize][time])
I(21,44): -0.10283052921295166	 ([believe][directed])
I(45,58): 0.10267090797424316	 ([without][phone])
I(46,53): -0.10266387462615967	 ([artistry.][actually])
I(13,15): 0.10255599021911621	 (["][( mostly )])
I(17,33): 0.10242795944213867	 ([jokes.][realize])
I(44,60): -0.10207128524780273	 ([directed][probably])
I(25,52): -0.10198026895523071	 ([( example :][jokes])
I(36,37): -0.10196006298065186	 ([time][set])
I(8,27): -0.10153478384017944	 ([feature][claus])
I(42,49): -0.10138940811157227	 ([gag ).][1])
I(2,15): 0.10128307342529297	 ([wit][( mostly )])
I(12,17): 0.10117030143737793	 ([glasses][jokes.])
I(26,58): -0.10076183080673218	 ([santa][phone])
I(24,30): 0.10074973106384277	 ([punchline][long])
I(26,52): -0.10067105293273926	 ([santa][jokes])
I(14,33): 0.10051298141479492	 ([collection][realize])
I(1,13): 0.10036587715148926	 ([level]["])
I(16,54): -0.10029661655426025	 ([dirty][manages])
I(14,27): 0.10016310214996338	 ([collection][claus])
I(17,56): 0.09995698928833008	 ([jokes.][( the])
I(17,51): -0.09990549087524414	 ([jokes.][10])
I(2,54): 0.0997474193572998	 ([wit][manages])
I(46,55): 0.09928762912750244	 ([artistry.][funny])
I(12,53): 0.09889733791351318	 ([glasses][actually])
I(11): -0.09889364242553711	 ([need])
I(3,25): 0.09880733489990234	 ([comedy][( example :])
I(36,47): -0.09875941276550293	 ([time][get])
I(29,42): -0.09836792945861816	 ([others][gag ).])
I(53,56): -0.09830856323242188	 ([actually][( the])
I(47,55): 0.09827661514282227	 ([get][funny])
I(2,49): -0.09819155931472778	 ([wit][1])
I(54,60): -0.098014235496521	 ([manages][probably])
I(7,33): 0.0979313850402832	 ([reaching][realize])
I(9,22): -0.0976799726486206	 ([length,][realize])
I(11,59): -0.0973900556564331	 ([need][one])
I(15,57): 0.09734487533569336	 ([( mostly )][iron])
I(5,10): 0.09726357460021973	 ([barely][it....'till])
I(26,46): 0.09683150053024292	 ([santa][artistry.])
I(15,28): -0.09648710489273071	 ([( mostly )][gag ) ;])
I(9,15): 0.09647917747497559	 ([length,][( mostly )])
I(25,58): -0.09647798538208008	 ([( example :][phone])
I(9,20): -0.09642446041107178	 ([length,][can't])
I(11,14): 0.0964045524597168	 ([need][collection])
I(3,45): 0.09625816345214844	 ([comedy][without])
I(42,60): -0.09605991840362549	 ([gag ).][probably])
I(3,34): 0.09602665901184082	 ([comedy][needed])
I(11,56): -0.09601032733917236	 ([need][( the])
I(17,45): 0.09595811367034912	 ([jokes.][without])
Sum: -19.276818811893463
==================================================
