---------- AND Interactions ----------
I(20): 4.677618503570557	 ([bad])
I(14,55): -0.21196413040161133	 ([pathetic][phone])
I(3,15): -0.21179521083831787	 ([knew][movie])
I(19,50): 0.21157383918762207	 ([watching][movie.])
I(16,22): 0.2112952470779419	 ([.][unfair])
I(1,23): -0.21114766597747803	 ([movie][write])
I(39,52): -0.2105768918991089	 ([bee][cheap])
I(31,49): 0.21003425121307373	 ([movie][produce])
I(16,26): 0.20947158336639404	 ([.][watching])
I(2,4): -0.20946204662322998	 ([gift,][dvd])
I(44,53): -0.20942258834838867	 ([pathetic][camcorder])
I(0,54): 0.20923864841461182	 ([received][cell])
I(18,26): -0.20922982692718506	 ([finish][watching])
I(22,45): -0.20881569385528564	 ([unfair][movie,])
I(4,46): -0.20867669582366943	 ([dvd][cost])
I(44,57): -0.20830059051513672	 ([pathetic][. about])
I(31,51): 0.20781123638153076	 ([movie][need])
I(1,13): 0.20743834972381592	 ([movie][it.])
I(55): 0.20742762088775635	 ([phone])
I(8,59): 0.20719826221466064	 ([bad. after][people])
I(43,49): -0.20715153217315674	 ([make][produce])
I(18,21): -0.20714008808135986	 ([finish][movie, but])
I(9,55): -0.20707190036773682	 ([watching][phone])
I(35,51): -0.20664656162261963	 ([shocked][need])
I(35,40): 0.2064276933670044	 ([shocked][got])
I(40,54): 0.2064051628112793	 ([got][cell])
I(37,42): 0.2063732147216797	 ([filmmaker][financed])
I(42,48): 0.20634162425994873	 ([financed][000])
I(10,36): 0.2057361602783203	 ([year][bad])
I(13,46): -0.2051774263381958	 ([it.][cost])
I(2,3): 0.2047947645187378	 ([gift,][knew])
I(35,49): 0.20479047298431396	 ([shocked][produce])
I(42,46): 0.2038339376449585	 ([financed][cost])
I(16,38): 0.20372402667999268	 ([.][wane])
I(26,28): 0.20318090915679932	 ([watching][movie.])
I(2,21): 0.20298469066619873	 ([gift,][movie, but])
I(12,31): -0.20287954807281494	 ([watched][movie])
I(52,57): -0.20239245891571045	 ([cheap][. about])
I(15,42): 0.2021465301513672	 ([movie][financed])
I(0,28): -0.202134370803833	 ([received][movie.])
I(28,44): -0.20135879516601562	 ([movie.][pathetic])
I(24,48): -0.20122277736663818	 ([review][000])
I(4,55): -0.20117580890655518	 ([dvd][phone])
I(4,53): -0.20007789134979248	 ([dvd][camcorder])
I(15,24): -0.19957172870635986	 ([movie][review])
I(0,29): 0.19956421852111816	 ([received][trust])
I(7,21): 0.19955527782440186	 ([going][movie, but])
I(45,52): -0.19943666458129883	 ([movie,][cheap])
I(0,57): 0.1992628574371338	 ([received][. about])
I(25,28): -0.19926011562347412	 ([without][movie.])
I(35,43): 0.19802916049957275	 ([shocked][make])
I(43): 0.19749295711517334	 ([make])
I(1,49): 0.19543993473052979	 ([movie][produce])
I(25,46): 0.19500315189361572	 ([without][cost])
I(2,53): -0.19488775730133057	 ([gift,][camcorder])
I(6,36): -0.19485223293304443	 ([movie][bad])
I(8,56): 0.19379782676696777	 ([bad. after][camera])
I(0,27): 0.19365286827087402	 ([received][complete])
I(15,30): -0.1934880018234253	 ([movie][say])
I(22,35): 0.19203197956085205	 ([unfair][shocked])
I(22,23): -0.191290020942688	 ([unfair][write])
I(57): 0.1910792589187622	 ([. about])
I(6,30): -0.1910032033920288	 ([movie][say])
I(7,8): 0.1909576654434204	 ([going][bad. after])
I(1,42): 0.19085025787353516	 ([movie][financed])
I(49,54): 0.19063007831573486	 ([produce][cell])
I(14,49): 0.1905841827392578	 ([pathetic][produce])
I(5,21): -0.19057190418243408	 ([cover,][movie, but])
I(13,22): 0.19050133228302002	 ([it.][unfair])
I(38,40): 0.19036996364593506	 ([wane][got])
I(12,56): -0.19034802913665771	 ([watched][camera])
I(30,37): -0.1902531385421753	 ([say][filmmaker])
I(26,40): 0.19020092487335205	 ([watching][got])
I(19,33): 0.19000017642974854	 ([watching]["])
I(50,54): 0.18934333324432373	 ([movie.][cell])
I(3,21): 0.18813443183898926	 ([knew][movie, but])
I(19,31): -0.18808162212371826	 ([watching][movie])
I(45,51): 0.18806076049804688	 ([movie,][need])
I(2,7): -0.18779265880584717	 ([gift,][going])
I(8,26): 0.187699556350708	 ([bad. after][watching])
I(42,56): -0.18754911422729492	 ([financed][camera])
I(32,56): -0.18751561641693115	 ([sucks][camera])
I(8,27): 0.1874091625213623	 ([bad. after][complete])
I(23,59): 0.18689286708831787	 ([write][people])
I(2,29): 0.18643903732299805	 ([gift,][trust])
I(11,17): -0.18626296520233154	 ([finally][almost])
I(18,42): -0.18509256839752197	 ([finish][financed])
I(0,5): 0.18462705612182617	 ([received][cover,])
I(6,14): -0.18451833724975586	 ([movie][pathetic])
I(10,12): -0.18412601947784424	 ([year][watched])
I(26,53): 0.18387067317962646	 ([watching][camcorder])
I(32,54): 0.18371367454528809	 ([sucks][cell])
I(10,29): 0.18326938152313232	 ([year][trust])
I(11,52): 0.18315744400024414	 ([finally][cheap])
I(27,54): 0.18302762508392334	 ([complete][cell])
I(2,31): 0.18300163745880127	 ([gift,][movie])
I(36,39): -0.1829439401626587	 ([bad][bee])
I(48,52): -0.1825186014175415	 ([000][cheap])
I(20,43): -0.18247735500335693	 ([bad][make])
I(30,50): -0.18226897716522217	 ([say][movie.])
I(36,48): 0.18188297748565674	 ([bad][000])
I(9,31): -0.18130624294281006	 ([watching][movie])
I(46,47): 0.18105864524841309	 ([cost][20])
I(35,42): -0.18101370334625244	 ([shocked][financed])
I(19,56): -0.1805509328842163	 ([watching][camera])
I(28,34): -0.1797276735305786	 ([movie.][truly])
I(9,36): -0.17942607402801514	 ([watching][bad])
I(37,39): -0.1787053346633911	 ([filmmaker][bee])
I(26,51): 0.17869603633880615	 ([watching][need])
I(3,46): 0.17802035808563232	 ([knew][cost])
I(26,30): 0.17783987522125244	 ([watching][say])
I(22,24): 0.17769229412078857	 ([unfair][review])
I(32,43): 0.17712604999542236	 ([sucks][make])
I(30,53): -0.17661798000335693	 ([say][camcorder])
I(49,53): 0.17657768726348877	 ([produce][camcorder])
I(17,27): -0.17648839950561523	 ([almost][complete])
I(16,29): 0.1751335859298706	 ([.][trust])
I(29,36): -0.1747676134109497	 ([trust][bad])
I(18,30): -0.174735426902771	 ([finish][say])
I(5,29): 0.1743239164352417	 ([cover,][trust])
I(21,22): 0.1740971803665161	 ([movie, but][unfair])
I(5,51): -0.1736546754837036	 ([cover,][need])
I(15,18): 0.17341434955596924	 ([movie][finish])
I(2,27): 0.1733471155166626	 ([gift,][complete])
I(0,1): -0.17331922054290771	 ([received][movie])
I(0,10): 0.1731886863708496	 ([received][year])
I(24,59): 0.17300045490264893	 ([review][people])
I(24,25): -0.1725693941116333	 ([review][without])
I(32,50): 0.17222309112548828	 ([sucks][movie.])
I(31,52): 0.17154502868652344	 ([movie][cheap])
I(6,52): -0.1713571548461914	 ([movie][cheap])
I(29,30): 0.17126142978668213	 ([trust][say])
I(10,18): -0.17110157012939453	 ([year][finish])
I(16,46): -0.17107975482940674	 ([.][cost])
I(23,47): -0.16965949535369873	 ([write][20])
I(24,55): -0.16940772533416748	 ([review][phone])
I(17): -0.16921758651733398	 ([almost])
I(10,49): 0.16896307468414307	 ([year][produce])
I(8,34): 0.16838157176971436	 ([bad. after][truly])
I(27,59): 0.16817891597747803	 ([complete][people])
I(10,59): 0.16813480854034424	 ([year][people])
I(22,48): 0.1680084466934204	 ([unfair][000])
I(3,50): 0.16780436038970947	 ([knew][movie.])
I(4,24): -0.1666179895401001	 ([dvd][review])
I(10,37): 0.16616535186767578	 ([year][filmmaker])
I(48,57): 0.166143536567688	 ([000][. about])
I(48,59): 0.16602087020874023	 ([000][people])
I(11,54): 0.16582369804382324	 ([finally][cell])
I(7,18): -0.16563570499420166	 ([going][finish])
I(26,46): 0.16560792922973633	 ([watching][cost])
I(40,49): 0.16484034061431885	 ([got][produce])
I(7,16): 0.16469275951385498	 ([going][.])
I(35,54): 0.16461622714996338	 ([shocked][cell])
I(10,15): -0.1643691062927246	 ([year][movie])
I(47,49): 0.16334617137908936	 ([20][produce])
I(3,35): 0.1629871129989624	 ([knew][shocked])
I(18,55): -0.1626683473587036	 ([finish][phone])
I(25,52): 0.1626349687576294	 ([without][cheap])
I(0,21): -0.16138792037963867	 ([received][movie, but])
I(27,43): -0.15989744663238525	 ([complete][make])
I(27,45): -0.15982401371002197	 ([complete][movie,])
I(42,51): -0.15971910953521729	 ([financed][need])
I(10,26): -0.15923941135406494	 ([year][watching])
I(52,54): 0.15923702716827393	 ([cheap][cell])
I(31,46): -0.15918362140655518	 ([movie][cost])
I(2,15): 0.15895569324493408	 ([gift,][movie])
I(0,48): -0.1585826873779297	 ([received][000])
I(22,36): -0.158483624458313	 ([unfair][bad])
I(8,50): 0.15823662281036377	 ([bad. after][movie.])
I(26,35): 0.1581636667251587	 ([watching][shocked])
I(38,45): -0.15762507915496826	 ([wane][movie,])
I(4,23): -0.15760600566864014	 ([dvd][write])
I(17,42): 0.15723013877868652	 ([almost][financed])
I(17,29): 0.1566629409790039	 ([almost][trust])
I(4,9): -0.1564420461654663	 ([dvd][watching])
I(14,28): -0.1562333106994629	 ([pathetic][movie.])
I(37,51): 0.15616893768310547	 ([filmmaker][need])
I(7,42): -0.15585839748382568	 ([going][financed])
I(32,40): -0.15520894527435303	 ([sucks][got])
I(33,35): -0.15505683422088623	 (["][shocked])
I(3,48): 0.15477943420410156	 ([knew][000])
I(2,54): 0.15456926822662354	 ([gift,][cell])
I(6,42): 0.15441560745239258	 ([movie][financed])
I(36,54): 0.1538904905319214	 ([bad][cell])
I(8,30): -0.153373122215271	 ([bad. after][say])
I(17,44): 0.15312528610229492	 ([almost][pathetic])
I(23,34): 0.15311038494110107	 ([write][truly])
I(6,12): -0.15291917324066162	 ([movie][watched])
I(0,12): 0.15258097648620605	 ([received][watched])
I(27,35): -0.15258049964904785	 ([complete][shocked])
I(3,42): 0.1524749994277954	 ([knew][financed])
I(7,51): -0.15201222896575928	 ([going][need])
I(38,46): 0.1519927978515625	 ([wane][cost])
I(0,15): -0.1519860029220581	 ([received][movie])
I(32,57): -0.15197861194610596	 ([sucks][. about])
I(7,23): -0.15184509754180908	 ([going][write])
I(39,54): 0.15177035331726074	 ([bee][cell])
I(21,24): -0.15132343769073486	 ([movie, but][review])
I(40,48): 0.15109527111053467	 ([got][000])
I(37,43): 0.1509801149368286	 ([filmmaker][make])
I(57,59): -0.15090453624725342	 ([. about][people])
I(28,48): -0.15058720111846924	 ([movie.][000])
I(7,35): -0.14967048168182373	 ([going][shocked])
I(41,44): 0.14908790588378906	 ([even][pathetic])
I(30,55): -0.14906072616577148	 ([say][phone])
I(29,45): 0.14893090724945068	 ([trust][movie,])
I(22,27): 0.14874577522277832	 ([unfair][complete])
I(13,15): 0.1485530138015747	 ([it.][movie])
I(17,52): 0.14841961860656738	 ([almost][cheap])
I(52,58): -0.14824259281158447	 ([cheap][15])
I(29,54): 0.14817452430725098	 ([trust][cell])
I(16,43): -0.14780867099761963	 ([.][make])
I(8,57): -0.14757061004638672	 ([bad. after][. about])
I(41): -0.14658033847808838	 ([even])
I(8,9): -0.14647221565246582	 ([bad. after][watching])
I(16,19): 0.1462113857269287	 ([.][watching])
I(24,51): -0.14619791507720947	 ([review][need])
I(23,29): 0.14602530002593994	 ([write][trust])
I(54,59): 0.1460106372833252	 ([cell][people])
I(17,20): 0.14600801467895508	 ([almost][bad])
I(19,37): 0.14596819877624512	 ([watching][filmmaker])
I(36,50): 0.1456162929534912	 ([bad][movie.])
I(12,24): -0.14506638050079346	 ([watched][review])
I(14,25): 0.14501953125	 ([pathetic][without])
I(4,12): -0.14483129978179932	 ([dvd][watched])
I(29,34): 0.14471817016601562	 ([trust][truly])
I(5,53): -0.14453303813934326	 ([cover,][camcorder])
I(24,31): -0.1443554162979126	 ([review][movie])
I(19,52): 0.1439805030822754	 ([watching][cheap])
I(5,43): -0.14379465579986572	 ([cover,][make])
I(23,51): -0.14372074604034424	 ([write][need])
I(10,50): -0.1435410976409912	 ([year][movie.])
I(15,53): -0.1434246301651001	 ([movie][camcorder])
I(44,55): -0.14319849014282227	 ([pathetic][phone])
I(18,46): 0.1424936056137085	 ([finish][cost])
I(47): 0.14227449893951416	 ([20])
I(29,40): 0.14178264141082764	 ([trust][got])
I(0,26): -0.14168167114257812	 ([received][watching])
I(11,22): -0.1414433717727661	 ([finally][unfair])
I(24,40): 0.14132201671600342	 ([review][got])
I(3,27): 0.14090681076049805	 ([knew][complete])
I(5,23): -0.14082682132720947	 ([cover,][write])
I(18,51): -0.14056384563446045	 ([finish][need])
I(23,38): 0.14045512676239014	 ([write][wane])
I(25,49): 0.1400700807571411	 ([without][produce])
I(26,43): 0.13868415355682373	 ([watching][make])
I(3,11): -0.1386796236038208	 ([knew][finally])
I(4,30): -0.13802754878997803	 ([dvd][say])
I(26,45): -0.13801062107086182	 ([watching][movie,])
I(29,44): -0.13798844814300537	 ([trust][pathetic])
I(12,30): -0.13770616054534912	 ([watched][say])
I(0,6): 0.13770413398742676	 ([received][movie])
I(22,25): -0.1374988555908203	 ([unfair][without])
I(10,23): -0.13711225986480713	 ([year][write])
I(41,45): -0.13702046871185303	 ([even][movie,])
I(19,39): -0.13687479496002197	 ([watching][bee])
I(8,38): 0.1367417573928833	 ([bad. after][wane])
I(15,55): -0.13608324527740479	 ([movie][phone])
I(3,37): 0.13590848445892334	 ([knew][filmmaker])
I(30,59): 0.1358274221420288	 ([say][people])
I(13,21): -0.13542044162750244	 ([it.][movie, but])
I(5,45): -0.1350477933883667	 ([cover,][movie,])
I(16,36): -0.13435208797454834	 ([.][bad])
I(24,53): -0.13406860828399658	 ([review][camcorder])
I(0,52): -0.1339261531829834	 ([received][cheap])
I(11,32): 0.1337510347366333	 ([finally][sucks])
I(21,52): 0.13359785079956055	 ([movie, but][cheap])
I(26,27): 0.1335310935974121	 ([watching][complete])
I(33,34): 0.13335275650024414	 (["][truly])
I(16,34): 0.13322603702545166	 ([.][truly])
I(46,50): -0.1332172155380249	 ([cost][movie.])
I(3,33): 0.13310754299163818	 ([knew]["])
I(24,57): -0.13310396671295166	 ([review][. about])
I(16,57): 0.1328030824661255	 ([.][. about])
I(4,11): -0.13277745246887207	 ([dvd][finally])
I(9,56): -0.13267648220062256	 ([watching][camera])
I(9,59): 0.13261044025421143	 ([watching][people])
I(1,14): -0.1323566436767578	 ([movie][pathetic])
I(54,57): 0.13230466842651367	 ([cell][. about])
I(12,15): -0.1322687864303589	 ([watched][movie])
I(27,51): -0.13216567039489746	 ([complete][need])
I(8,31): 0.13214373588562012	 ([bad. after][movie])
I(33,37): 0.1321026086807251	 (["][filmmaker])
I(25,45): -0.13157403469085693	 ([without][movie,])
I(27,57): 0.13152897357940674	 ([complete][. about])
I(2,13): 0.13131296634674072	 ([gift,][it.])
I(8,17): 0.1313086748123169	 ([bad. after][almost])
I(5,27): -0.13127350807189941	 ([cover,][complete])
I(25,42): 0.13105905055999756	 ([without][financed])
I(12,54): 0.1308138370513916	 ([watched][cell])
I(8,11): -0.13063430786132812	 ([bad. after][finally])
I(22,49): 0.13058722019195557	 ([unfair][produce])
I(8,40): -0.13047397136688232	 ([bad. after][got])
I(16,32): -0.12995576858520508	 ([.][sucks])
I(26,37): 0.12983477115631104	 ([watching][filmmaker])
I(6,27): -0.12980079650878906	 ([movie][complete])
I(33): 0.12975633144378662	 (["])
I(9,35): -0.12940967082977295	 ([watching][shocked])
I(16,42): 0.12911510467529297	 ([.][financed])
I(0,59): 0.1290222406387329	 ([received][people])
I(29,46): -0.12843549251556396	 ([trust][cost])
I(32,51): -0.12826204299926758	 ([sucks][need])
I(14,57): -0.12822389602661133	 ([pathetic][. about])
I(1,52): -0.12797832489013672	 ([movie][cheap])
I(19,48): 0.12774860858917236	 ([watching][000])
I(54,56): 0.1275695562362671	 ([cell][camera])
I(42,57): -0.12702691555023193	 ([financed][. about])
I(2,37): 0.12695467472076416	 ([gift,][filmmaker])
I(31,54): 0.1265801191329956	 ([movie][cell])
I(20,29): -0.12638461589813232	 ([bad][trust])
I(35,50): 0.1263676881790161	 ([shocked][movie.])
I(0,33): 0.1262669563293457	 ([received]["])
I(23,46): -0.12610673904418945	 ([write][cost])
I(5,54): -0.1261063814163208	 ([cover,][cell])
I(34,54): 0.12606430053710938	 ([truly][cell])
I(23,25): 0.12559878826141357	 ([write][without])
I(3,40): 0.1255708932876587	 ([knew][got])
I(28,36): 0.12499260902404785	 ([movie.][bad])
I(2,35): 0.12493765354156494	 ([gift,][shocked])
I(48,55): -0.12490522861480713	 ([000][phone])
I(40,52): -0.12478435039520264	 ([got][cheap])
I(6,9): -0.1246100664138794	 ([movie][watching])
I(22,34): 0.12422835826873779	 ([unfair][truly])
I(43,48): -0.12401473522186279	 ([make][000])
I(5,59): 0.12396442890167236	 ([cover,][people])
I(20,30): -0.12394559383392334	 ([bad][say])
I(3,45): 0.12357771396636963	 ([knew][movie,])
I(2,57): 0.12344574928283691	 ([gift,][. about])
I(49,56): 0.12326920032501221	 ([produce][camera])
I(46,51): -0.12316858768463135	 ([cost][need])
I(38,48): 0.12216484546661377	 ([wane][000])
I(14,30): -0.12183570861816406	 ([pathetic][say])
I(16,59): 0.12158477306365967	 ([.][people])
I(5,50): 0.12133800983428955	 ([cover,][movie.])
I(51,57): -0.12115418910980225	 ([need][. about])
I(35,48): -0.12115228176116943	 ([shocked][000])
I(2,16): 0.12091410160064697	 ([gift,][.])
I(7,28): 0.12089574337005615	 ([going][movie.])
I(42,55): -0.12087857723236084	 ([financed][phone])
I(24,39): -0.12087690830230713	 ([review][bee])
I(17,40): 0.12084388732910156	 ([almost][got])
I(18,39): -0.12071359157562256	 ([finish][bee])
I(19,34): 0.12064921855926514	 ([watching][truly])
I(8,45): 0.12048602104187012	 ([bad. after][movie,])
I(37,55): -0.12019836902618408	 ([filmmaker][phone])
I(6,49): 0.12006556987762451	 ([movie][produce])
I(9,38): 0.11981785297393799	 ([watching][wane])
I(10,17): -0.11979866027832031	 ([year][almost])
I(0,13): -0.11965250968933105	 ([received][it.])
I(12,38): 0.11965024471282959	 ([watched][wane])
I(10,56): -0.11962759494781494	 ([year][camera])
I(24,54): 0.11960923671722412	 ([review][cell])
I(32,38): 0.11960422992706299	 ([sucks][wane])
I(13,50): 0.11931216716766357	 ([it.][movie.])
I(0,18): -0.1191399097442627	 ([received][finish])
I(38,52): 0.11893951892852783	 ([wane][cheap])
I(29,32): -0.11886107921600342	 ([trust][sucks])
I(23,36): 0.11871135234832764	 ([write][bad])
I(19,43): -0.11854064464569092	 ([watching][make])
I(8,25): 0.11845839023590088	 ([bad. after][without])
I(5,36): 0.1180417537689209	 ([cover,][bad])
I(6,32): -0.11801004409790039	 ([movie][sucks])
I(55,59): 0.11781954765319824	 ([phone][people])
I(14,41): 0.11775398254394531	 ([pathetic][even])
I(31,47): 0.11745917797088623	 ([movie][20])
I(16,50): 0.11696255207061768	 ([.][movie.])
Sum: -52.746975004673004
==================================================
